date,count
2022-08-24,1623389
2022-08-25,1626108
2022-08-26,1628753
2022-08-27,1631483
2022-08-28,1634093
2022-08-29,1636730
2022-08-30,1639352
2022-08-31,1641908
2022-09-01,1644109
2022-09-02,1646295
2022-09-03,1649041
2022-09-04,1651945
2022-09-05,1654596
2022-09-06,1657482
2022-09-07,1660372
2022-09-08,1663082
2022-09-09,1665553
2022-09-10,1668589
2022-09-11,1671564
2022-09-12,1674051
2022-09-13,1676551
2022-09-14,1679082
2022-09-15,1681952
2022-09-16,1684564
2022-09-17,1687196
2022-09-18,1689849
2022-09-19,1692460
2022-09-20,1694935
2022-09-21,1697446
2022-09-22,1700028
2022-09-23,1702942
2022-09-24,1705793
2022-09-25,1708583
2022-09-26,1711028
2022-09-27,1713926
2022-09-28,1716557
2022-09-29,1719472
2022-09-30,1721616
2022-10-01,1724146
2022-10-02,1726815
2022-10-03,1729422
2022-10-04,1732168
2022-10-05,1734781
2022-10-06,1737365
2022-10-07,1740054
2022-10-08,1742943
2022-10-09,1745642
2022-10-10,1748751
2022-10-11,1751417
2022-10-12,1754092
2022-10-13,1756844
2022-10-14,1759330
2022-10-15,1761930
2022-10-16,1764642
2022-10-17,1767009
2022-10-18,1769539
2022-10-19,1771857
2022-10-20,1774047
2022-10-21,1776414
2022-10-22,1778671
2022-10-23,1781162
2022-10-24,1783559
2022-10-25,1785740
2022-10-26,1787907
2022-10-27,1789893
2022-10-28,1792221
2022-10-29,1794662
2022-10-30,1797068
2022-10-31,1799221
2022-11-01,1801261
2022-11-02,1803351
2022-11-03,1805830
2022-11-04,1807831
2022-11-05,1810040
2022-11-06,1812789
2022-11-07,1814961
2022-11-08,1816971
2022-11-09,1818895
2022-11-10,1820729
2022-11-11,1822706
2022-11-12,1825006
2022-11-13,1827433
2022-11-14,1829486
2022-11-15,1831502
2022-11-16,1833568
2022-11-17,1835695
2022-11-18,1837656
2022-11-19,1839760
2022-11-20,1841745
2022-11-21,1843736
2022-11-22,1845553
2022-11-23,1847807
2022-11-24,1849804
2022-11-25,1851862
2022-11-26,1853930
2022-11-27,1856201
2022-11-28,1858182
2022-11-29,1860345
2022-11-30,1862408
2022-12-01,1864462
2022-12-02,1866504
2022-12-03,1868847
2022-12-04,1871228
2022-12-05,1873212
2022-12-06,1875283
2022-12-07,1877382
2022-12-08,1879493
2022-12-09,1881596
2022-12-10,1883831
2022-12-11,1886065
2022-12-12,1888042
2022-12-13,1889925
2022-12-14,1891704
2022-12-15,1893538
2022-12-16,1895353
2022-12-17,1897219
2022-12-18,1899065
2022-12-19,1900791
2022-12-20,1902518
2022-12-21,1904196
2022-12-22,1905918
2022-12-23,1907740
2022-12-24,1909349
2022-12-25,1911044
2022-12-26,1913018
2022-12-27,1915094
2022-12-28,1917146
2022-12-29,1919168
2022-12-30,1921202
2022-12-31,1923112
2023-01-01,1924523
2023-01-02,1926070
2023-01-03,1927731
2023-01-04,1929406
2023-01-05,1931241
2023-01-06,1933060
2023-01-07,1934782
2023-01-08,1936431
2023-01-09,1938397
2023-01-10,1940048
2023-01-11,1941706
2023-01-12,1943608
2023-01-13,1945380
2023-01-14,1947283
2023-01-15,1949182
2023-01-16,1950915
2023-01-17,1952665
2023-01-18,1954326
2023-01-19,1956017
2023-01-20,1957709
2023-01-21,1959490
2023-01-22,1961222
2023-01-23,1962944
2023-01-24,1964646
2023-01-25,1966456
2023-01-26,1968115
2023-01-27,1969737
2023-01-28,1971496
2023-01-29,1973303
2023-01-30,1975136
2023-01-31,1976881
2023-02-01,1978662
2023-02-02,1980388
2023-02-03,1982325
2023-02-04,1984294
2023-02-05,1986295
2023-02-06,1988160
2023-02-07,1989882
2023-02-08,1991715
2023-02-09,1993385
2023-02-10,1995255
2023-02-11,1997095
2023-02-12,1999029
2023-02-13,2000720
2023-02-14,2002472
2023-02-15,2004417
2023-02-16,2005990
2023-02-17,2007589
2023-02-18,2009324
2023-02-19,2011280
2023-02-20,2013048
2023-02-21,2014722
2023-02-22,2016441
2023-02-23,2018219
2023-02-24,2019965
2023-02-25,2021789
2023-02-26,2023487
2023-02-27,2025079
2023-02-28,2026624
2023-03-01,2028111
2023-03-02,2029651
2023-03-03,2031165
2023-03-04,2032815
2023-03-05,2034499
2023-03-06,2036238
2023-03-07,2037973
2023-03-08,2039675
2023-03-09,2041205
2023-03-10,2042815
2023-03-11,2044345
2023-03-12,2045958
2023-03-13,2047538
2023-03-14,2049046
2023-03-15,2050656
2023-03-16,2052157
2023-03-17,2053665
2023-03-18,2055189
2023-03-19,2056791
2023-03-20,2058537
2023-03-21,2060139
2023-03-22,2061769
2023-03-23,2063286
2023-03-24,2064987
2023-03-25,2066591
2023-03-26,2068252
2023-03-27,2069954
2023-03-28,2071520
2023-03-29,2073042
2023-03-30,2074614
2023-03-31,2076234
2023-04-01,2077666
2023-04-02,2079211
2023-04-03,2080851
2023-04-04,2082391
2023-04-05,2084048
2023-04-06,2085672
2023-04-07,2087246
2023-04-08,2088817
2023-04-09,2090419
2023-04-10,2091820
2023-04-11,2093193
2023-04-12,2094553
2023-04-13,2095798
2023-04-14,2097026
2023-04-15,2098283
2023-04-16,2099669
2023-04-17,2101012
2023-04-18,2102220
2023-04-19,2103577
2023-04-20,2104760
2023-04-21,2105970
2023-04-22,2107280
2023-04-23,2108581
2023-04-24,2109746
2023-04-25,2110883
2023-04-26,2111994
2023-04-27,2113121
2023-04-28,2114237
2023-04-29,2115470
2023-04-30,2116705
2023-05-01,2117808
2023-05-02,2119025
