date,count
2022-08-24,2134429
2022-08-25,2138352
2022-08-26,2142349
2022-08-27,2146722
2022-08-28,2151591
2022-08-29,2155678
2022-08-30,2159351
2022-08-31,2163230
2022-09-01,2166766
2022-09-02,2170094
2022-09-03,2174717
2022-09-04,2179337
2022-09-05,2183205
2022-09-06,2186993
2022-09-07,2190662
2022-09-08,2194194
2022-09-09,2197509
2022-09-10,2201380
2022-09-11,2205431
2022-09-12,2208977
2022-09-13,2212336
2022-09-14,2215821
2022-09-15,2219572
2022-09-16,2223155
2022-09-17,2227176
2022-09-18,2231283
2022-09-19,2235262
2022-09-20,2238734
2022-09-21,2242147
2022-09-22,2246111
2022-09-23,2250571
2022-09-24,2254641
2022-09-25,2259128
2022-09-26,2263229
2022-09-27,2267410
2022-09-28,2271073
2022-09-29,2274941
2022-09-30,2278018
2022-10-01,2281783
2022-10-02,2286358
2022-10-03,2290262
2022-10-04,2294267
2022-10-05,2298226
2022-10-06,2302283
2022-10-07,2306455
2022-10-08,2310830
2022-10-09,2315196
2022-10-10,2319708
2022-10-11,2323274
2022-10-12,2327034
