date,count
2022-08-24,5257164
2022-08-25,5268482
2022-08-26,5279026
2022-08-27,5289696
2022-08-28,5299881
2022-08-29,5310303
2022-08-30,5320437
2022-08-31,5330760
2022-09-01,5340242
2022-09-03,5348646
2022-09-04,5365216
2022-09-05,5380356
2022-09-06,5396358
2022-09-07,5409130
2022-09-08,5419111
2022-09-09,5428089
2022-09-10,5438811
2022-09-11,5449538
2022-09-12,5458743
2022-09-13,5467500
2022-09-14,5476096
2022-09-15,5485058
2022-09-16,5494190
2022-09-17,5504585
2022-09-18,5515124
2022-09-19,5524595
2022-09-20,5532890
2022-09-21,5541029
2022-09-22,5549669
2022-09-23,5559436
2022-09-24,5568815
2022-09-25,5578644
2022-09-26,5587224
2022-09-27,5595844
2022-09-28,5604136
2022-09-29,5613060
2022-09-30,5620173
2022-10-01,5629078
2022-10-02,5638476
2022-10-03,5646785
2022-10-04,5655391
2022-10-05,5663571
2022-10-06,5671829
2022-10-07,5679789
2022-10-08,5688801
2022-10-09,5697688
2022-10-10,5706845
2022-10-11,5715291
2022-10-12,5723380
2022-10-13,5731508
2022-10-14,5739166
2022-10-15,5747102
2022-10-16,5755501
2022-10-17,5763017
2022-10-18,5770268
2022-10-19,5777341
2022-10-20,5784678
2022-10-21,5791764
2022-10-22,5799727
2022-10-23,5807857
2022-10-24,5815153
2022-10-25,5821997
2022-10-26,5828958
2022-10-27,5835955
2022-10-28,5843622
2022-10-29,5852160
2022-10-30,5860951
2022-10-31,5869153
2022-11-01,5876902
2022-11-02,5884441
2022-11-03,5892503
2022-11-04,5899190
2022-11-05,5906514
2022-11-06,5913726
2022-11-07,5921087
2022-11-08,5927731
2022-11-09,5934237
2022-11-10,5940343
2022-11-11,5946428
2022-11-12,5954009
2022-11-13,5961607
2022-11-14,5968003
2022-11-15,5974202
2022-11-16,5980387
2022-11-17,5986744
2022-11-18,5993014
2022-11-19,5999962
2022-11-20,6006681
2022-11-21,6012751
2022-11-22,6019152
2022-11-23,6026218
2022-11-24,6033996
2022-11-25,6041045
2022-11-26,6048722
2022-11-27,6056191
2022-11-28,6062836
2022-11-29,6069711
2022-11-30,6076448
2022-12-01,6082976
2022-12-02,6089572
2022-12-03,6096729
2022-12-04,6104586
2022-12-05,6110918
2022-12-06,6117350
2022-12-07,6123636
2022-12-08,6129917
2022-12-09,6136287
2022-12-10,6143702
2022-12-11,6150499
2022-12-12,6157144
2022-12-13,6163727
2022-12-14,6170440
2022-12-15,6176901
2022-12-16,6183494
2022-12-17,6190792
2022-12-18,6197946
2022-12-19,6204416
2022-12-20,6211008
2022-12-21,6217957
2022-12-22,6224571
2022-12-23,6231666
2022-12-24,6238110
2022-12-25,6244443
2022-12-26,6251601
2022-12-27,6258669
2022-12-28,6265559
2022-12-29,6272564
2022-12-30,6279432
2022-12-31,6286402
2023-01-01,6291755
2023-01-02,6297446
2023-01-03,6303555
2023-01-04,6309890
2023-01-05,6316585
2023-01-06,6323405
2023-01-07,6329694
