date,count
2022-11-13,366611
2022-11-14,440382
2022-11-15,497727
2022-11-16,543062
2022-11-17,583445
2022-11-18,624470
2022-11-19,666694
2022-11-20,705947
2022-11-21,740802
2022-11-22,774942
2022-11-23,811740
2022-11-24,844840
2022-11-25,874436
2022-11-26,902737
2022-11-27,929568
2022-11-28,954013
2022-11-29,980436
2022-11-30,1002281
2022-12-01,1022253
2022-12-02,1042874
2022-12-03,1064524
2022-12-04,1086365
2022-12-05,1104538
2022-12-06,1124064
2022-12-07,1141329
2022-12-08,1159024
2022-12-09,1177081
2022-12-10,1197155
2022-12-11,1214445
2022-12-12,1231152
2022-12-13,1246750
2022-12-14,1263389
2022-12-15,1278240
2022-12-16,1293560
2022-12-17,1309581
2022-12-18,1324913
2022-12-19,1338595
2022-12-20,1352768
2022-12-21,1366538
2022-12-22,1380407
2022-12-23,1395196
2022-12-24,1408477
2022-12-25,1420938
2022-12-26,1435495
2022-12-27,1449207
2022-12-28,1463957
2022-12-29,1478550
2022-12-30,1492363
2022-12-31,1506460
2023-01-01,1516968
2023-01-02,1527385
2023-01-03,1538436
2023-01-04,1549409
2023-01-05,1560762
2023-01-06,1572342
2023-01-07,1582160
2023-01-08,1591683
2023-01-09,1603317
2023-01-10,1610032
2023-01-11,1622553
2023-01-12,1633446
2023-01-13,1643678
2023-01-14,1654461
2023-01-15,1665946
2023-01-16,1674991
2023-01-17,1684295
2023-01-18,1693370
2023-01-19,1702508
2023-01-20,1711898
2023-01-21,1722213
2023-01-22,1731760
2023-01-23,1740889
2023-01-24,1750221
2023-01-25,1759659
2023-01-26,1769428
2023-01-27,1779271
2023-01-28,1789615
2023-01-29,1800392
2023-01-30,1810935
2023-01-31,1820783
2023-02-01,1830726
2023-02-02,1839800
2023-02-03,1849613
2023-02-04,1860564
2023-02-05,1871584
2023-02-06,1881435
2023-02-07,1891025
2023-02-08,1900200
2023-02-09,1908719
2023-02-10,1918633
2023-02-11,1928314
2023-02-12,1939320
2023-02-13,1948966
2023-02-14,1958354
2023-02-15,1968655
2023-02-16,1977869
2023-02-17,1986710
2023-02-18,1996052
2023-02-19,2006393
2023-02-20,2015377
2023-02-21,2024260
2023-02-22,2032980
2023-02-23,2042354
2023-02-24,2051405
2023-02-25,2060195
2023-02-26,2068403
2023-02-27,2076446
2023-02-28,2084625
2023-03-01,2092349
2023-03-02,2100363
2023-03-03,2108805
2023-03-04,2116772
2023-03-05,2125360
2023-03-06,2133895
2023-03-07,2142069
2023-03-08,2150068
2023-03-09,2157397
2023-03-10,2164359
2023-03-11,2171223
2023-03-12,2178255
2023-03-13,2185169
2023-03-14,2191859
2023-03-15,2198775
2023-03-16,2205725
2023-03-17,2212244
2023-03-18,2218386
2023-03-19,2224060
2023-03-20,2230956
2023-03-21,2237038
2023-03-22,2243151
2023-03-23,2249849
2023-03-24,2257218
2023-03-25,2264023
2023-03-26,2270717
2023-03-27,2278005
2023-03-28,2284845
2023-03-29,2291593
2023-03-30,2298373
2023-03-31,2304819
2023-04-01,2310781
2023-04-02,2317158
2023-04-03,2323925
2023-04-04,2330819
2023-04-05,2337641
2023-04-06,2344968
2023-04-07,2352474
2023-04-08,2359441
2023-04-09,2366532
2023-04-10,2372874
