date,count
2022-08-24,1856632
2022-08-25,1860724
2022-08-26,1864749
2022-08-27,1869079
2022-08-28,1873177
2022-08-29,1877025
2022-08-30,1880792
2022-08-31,1884660
2022-09-01,1888236
2022-09-02,1891467
2022-09-03,1895855
2022-09-04,1900003
2022-09-05,1903392
2022-09-06,1906938
2022-09-07,1910464
2022-09-08,1914060
2022-09-09,1917422
2022-09-10,1921401
2022-09-11,1925283
2022-09-12,1928438
2022-09-13,1931495
2022-09-14,1934673
2022-09-15,1937993
2022-09-16,1941190
2022-09-17,1945335
2022-09-18,1949226
2022-09-19,1952947
2022-09-20,1955964
2022-09-21,1959021
2022-09-22,1962176
2022-09-23,1966129
2022-09-24,1969856
2022-09-25,1973841
2022-09-26,1977003
2022-09-27,1980378
2022-09-28,1983647
2022-09-29,1987275
2022-09-30,1990196
2022-10-01,1994171
2022-10-02,1998480
2022-10-03,2001974
2022-10-04,2005526
2022-10-05,2009074
2022-10-06,2013156
2022-10-07,2017318
2022-10-08,2021993
2022-10-09,2026553
2022-10-10,2031236
2022-10-11,2034718
2022-10-12,2038471
2022-10-13,2042488
2022-10-14,2046427
2022-10-15,2051364
2022-10-16,2056037
