date,count
2022-11-20,104485
2022-11-21,112145
2022-11-22,119247
2022-11-23,126388
2022-11-24,131995
2022-11-25,136974
2022-11-26,142092
2022-11-27,146933
2022-11-28,150781
2022-11-29,155108
2022-11-30,158818
2022-12-01,162323
2022-12-02,165710
2022-12-03,169374
2022-12-04,173156
2022-12-05,176548
2022-12-06,180093
2022-12-07,183386
2022-12-08,186688
2022-12-09,189998
2022-12-10,193780
2022-12-11,197019
2022-12-12,200036
2022-12-13,202929
2022-12-14,205704
2022-12-15,208583
2022-12-16,211597
2022-12-17,214605
2022-12-18,217496
2022-12-19,220132
2022-12-20,223759
2022-12-21,227077
2022-12-22,230187
2022-12-23,233226
2022-12-24,236067
2022-12-25,238954
2022-12-26,242007
2022-12-27,244983
2022-12-28,247839
2022-12-29,250765
2022-12-30,253379
2022-12-31,256088
2023-01-01,258147
2023-01-02,260495
2023-01-03,263155
2023-01-04,265623
2023-01-05,268253
2023-01-06,271002
2023-01-07,273583
2023-01-08,276143
2023-01-09,279221
2023-01-10,281551
2023-01-11,284149
2023-01-12,286660
2023-01-13,288908
2023-01-14,291658
2023-01-15,294303
2023-01-16,296406
2023-01-17,298485
2023-01-18,300589
2023-01-19,302559
2023-01-20,304996
2023-01-21,307674
2023-01-22,310202
2023-01-23,312235
2023-01-24,314328
2023-01-25,316261
2023-01-26,318205
2023-01-27,320064
2023-01-28,322120
2023-01-29,324229
2023-01-30,326260
2023-01-31,328204
2023-02-01,330063
2023-02-02,331810
2023-02-03,333627
2023-02-04,335705
2023-02-05,337768
2023-02-06,339440
2023-02-07,341109
2023-02-08,342862
2023-02-09,344482
2023-02-10,346359
2023-02-11,348136
2023-02-12,350125
2023-02-13,351763
2023-02-14,353340
2023-02-15,355022
2023-02-16,356443
2023-02-17,357849
2023-02-18,360279
2023-02-19,362467
2023-02-20,364169
2023-02-21,365781
2023-02-22,367261
2023-02-23,368988
2023-02-24,370674
2023-02-25,372455
2023-02-26,374042
2023-02-27,375542
2023-02-28,376895
2023-03-01,378253
2023-03-02,379551
2023-03-03,380920
2023-03-04,382458
2023-03-05,383928
2023-03-06,385161
2023-03-07,386487
2023-03-08,387801
2023-03-09,389064
2023-03-10,390400
2023-03-11,391992
2023-03-12,393444
2023-03-13,394820
2023-03-14,396337
2023-03-15,397722
2023-03-16,399062
2023-03-17,400357
2023-03-18,401820
2023-03-19,403228
2023-03-20,404552
2023-03-21,405866
2023-03-22,407114
2023-03-23,408499
2023-03-24,410201
2023-03-25,411772
2023-03-26,413243
2023-03-27,414670
2023-03-28,415976
2023-03-29,418080
2023-03-30,420004
2023-03-31,421887
2023-04-01,423562
2023-04-02,425368
2023-04-03,427416
2023-04-04,429309
2023-04-05,431327
2023-04-06,433251
2023-04-07,435056
2023-04-08,436829
2023-04-09,438566
2023-04-10,440045
2023-04-11,441508
2023-04-12,443009
2023-04-13,444297
2023-04-14,445653
2023-04-15,447070
2023-04-16,448533
