date,count
2022-08-24,3297616
2022-08-25,3300388
2022-08-26,3303317
2022-08-27,3306503
2022-08-28,3309434
2022-08-29,3312336
2022-08-30,3315047
2022-08-31,3317799
2022-09-01,3320209
2022-09-02,3322339
2022-09-03,3325307
2022-09-04,3328332
2022-09-05,3330943
2022-09-06,3333549
2022-09-07,3335960
2022-09-08,3338232
2022-09-09,3340393
2022-09-10,3343253
2022-09-11,3346090
2022-09-12,3348432
2022-09-13,3350500
2022-09-14,3352753
2022-09-15,3355000
2022-09-16,3357093
2022-09-17,3359740
2022-09-18,3362422
2022-09-19,3364798
2022-09-20,3366998
2022-09-21,3369200
2022-09-22,3371371
2022-09-23,3374094
2022-09-24,3376943
2022-09-25,3379607
2022-09-26,3381767
2022-09-27,3384022
2022-09-28,3386343
2022-09-29,3388960
2022-09-30,3390990
2022-10-01,3393778
2022-10-02,3396799
2022-10-03,3399265
2022-10-04,3401793
2022-10-05,3404187
2022-10-06,3406763
2022-10-07,3409316
2022-10-08,3412193
2022-10-09,3415172
2022-10-10,3418154
2022-10-11,3420572
2022-10-12,3423053
2022-10-13,3425482
2022-10-14,3427891
2022-10-15,3430670
2022-10-16,3433393
2022-10-17,3435732
2022-10-18,3437833
2022-10-19,3440170
2022-10-20,3442554
2022-10-21,3444597
2022-10-22,3447187
2022-10-23,3449728
2022-10-24,3451676
2022-10-25,3453486
2022-10-26,3455332
2022-10-27,3457273
2022-10-28,3459461
2022-10-29,3461833
2022-10-30,3464232
2022-10-31,3466219
2022-11-01,3468070
2022-11-02,3469944
2022-11-03,3472305
2022-11-04,3474068
2022-11-05,3476178
2022-11-06,3478140
2022-11-07,3480104
2022-11-08,3481871
2022-11-09,3483699
2022-11-10,3485535
2022-11-11,3487394
2022-11-12,3489796
2022-11-13,3492267
2022-11-14,3494259
2022-11-15,3496221
2022-11-16,3498310
2022-11-17,3500445
2022-11-18,3502405
2022-11-19,3504934
2022-11-20,3507259
2022-11-21,3509162
2022-11-22,3511034
2022-11-23,3513248
2022-11-24,3515048
2022-11-25,3516879
2022-11-26,3519029
2022-11-27,3521201
2022-11-28,3522796
2022-11-29,3524515
2022-11-30,3526160
2022-12-01,3527817
2022-12-02,3529411
2022-12-03,3531454
2022-12-04,3533343
2022-12-05,3534984
2022-12-06,3536672
2022-12-07,3538440
2022-12-08,3540071
2022-12-09,3541720
2022-12-10,3543593
2022-12-11,3545415
2022-12-12,3547034
2022-12-13,3548765
2022-12-14,3550558
2022-12-15,3552479
2022-12-16,3554479
2022-12-17,3556528
2022-12-18,3558433
2022-12-19,3560060
2022-12-20,3561890
2022-12-21,3563800
2022-12-22,3565649
2022-12-23,3567626
