date,count
2023-02-17,34140
2023-02-18,175378
2023-02-19,230006
2023-02-20,269002
2023-02-21,302157
2023-02-22,327331
2023-02-23,352787
2023-02-24,375009
2023-02-25,398008
2023-02-26,417130
2023-02-27,435353
2023-02-28,451027
2023-03-01,464984
2023-03-02,479123
2023-03-03,493516
2023-03-04,507917
2023-03-05,521620
2023-03-06,533243
2023-03-07,544835
2023-03-08,555809
2023-03-09,567451
2023-03-10,579807
2023-03-11,593083
2023-03-12,604768
2023-03-13,616958
2023-03-14,628295
2023-03-15,639974
2023-03-16,651340
2023-03-17,662076
2023-03-18,673008
2023-03-19,683292
2023-03-20,693986
2023-03-21,704223
2023-03-22,714531
2023-03-23,725452
