date,count
2022-08-24,2203469
2022-08-25,2244326
2022-08-26,2283248
2022-08-27,2321996
2022-08-28,2358062
2022-08-29,2394285
2022-08-30,2428822
2022-08-31,2465367
2022-09-01,2501989
2022-09-02,2536702
2022-09-03,2576645
2022-09-04,2615580
2022-09-05,2650796
2022-09-06,2686181
2022-09-07,2720579
2022-09-08,2755446
2022-09-09,2790463
2022-09-10,2830256
2022-09-11,2869867
2022-09-12,2905513
2022-09-13,2937641
2022-09-14,2968549
2022-09-15,3002648
2022-09-16,3034833
2022-09-17,3069578
2022-09-18,3105303
2022-09-19,3140189
2022-09-20,3171479
2022-09-21,3201363
2022-09-22,3231888
2022-09-23,3265361
2022-09-24,3297315
2022-09-25,3330750
2022-09-26,3359523
2022-09-27,3390461
2022-09-28,3421810
2022-09-29,3457052
2022-09-30,3485266
2022-10-01,3519697
2022-10-02,3555950
2022-10-03,3587070
2022-10-04,3619621
2022-10-05,3650178
2022-10-06,3680056
2022-10-07,3709448
