date,count
2022-08-24,1043074
2022-08-25,1044694
2022-08-26,1046268
2022-08-27,1047928
2022-08-28,1049429
2022-08-29,1050857
2022-08-30,1052283
2022-08-31,1053810
2022-09-01,1055174
2022-09-02,1056400
2022-09-03,1058093
2022-09-04,1059794
2022-09-05,1061192
2022-09-06,1062553
2022-09-07,1063882
2022-09-08,1065123
2022-09-09,1066375
2022-09-10,1067981
2022-09-11,1069614
2022-09-12,1070853
2022-09-13,1072039
2022-09-14,1073232
2022-09-15,1074577
2022-09-16,1075819
2022-09-17,1077445
2022-09-18,1078974
2022-09-19,1080439
2022-09-20,1081639
2022-09-21,1082768
2022-09-22,1083971
2022-09-23,1085491
2022-09-24,1087006
2022-09-25,1088534
2022-09-26,1089766
2022-09-27,1090993
2022-09-28,1092286
2022-09-29,1093586
2022-09-30,1094705
2022-10-01,1096120
2022-10-02,1097631
2022-10-03,1098922
2022-10-04,1100319
2022-10-05,1101716
2022-10-06,1103160
2022-10-07,1104761
2022-10-08,1106443
2022-10-09,1107997
2022-10-10,1109606
2022-10-11,1111078
2022-10-12,1112460
2022-10-13,1113793
2022-10-14,1115158
2022-10-15,1116673
2022-10-16,1118171
2022-10-17,1119390
2022-10-18,1120613
2022-10-19,1121946
2022-10-20,1123328
2022-10-21,1124510
2022-10-22,1126056
2022-10-23,1127631
2022-10-24,1128951
2022-10-25,1130039
2022-10-26,1131138
2022-10-27,1132234
2022-10-28,1133421
2022-10-29,1134729
