date,count
2022-08-24,634157
2022-08-25,636279
2022-08-26,638317
2022-08-27,640306
2022-08-28,642181
2022-08-29,644057
2022-08-30,646038
2022-08-31,647957
2022-09-01,649763
2022-09-02,651547
2022-09-03,653737
2022-09-04,655873
2022-09-05,657586
2022-09-06,659399
2022-09-07,661109
2022-09-08,662904
2022-09-09,664493
2022-09-10,666398
2022-09-11,668395
2022-09-12,670015
2022-09-13,671472
2022-09-14,672959
2022-09-15,674494
2022-09-16,675923
2022-09-17,677706
2022-09-18,679484
2022-09-19,681319
2022-09-20,682741
2022-09-21,684186
2022-09-22,685610
2022-09-23,687303
2022-09-24,689027
2022-09-25,690864
2022-09-26,692360
2022-09-27,694019
2022-09-28,695813
2022-09-29,697540
2022-09-30,698881
2022-10-01,700761
2022-10-02,702932
2022-10-03,704565
2022-10-04,706289
2022-10-05,707963
2022-10-06,709881
2022-10-07,711761
2022-10-08,713811
2022-10-09,715743
2022-10-10,717853
2022-10-11,719587
2022-10-12,721198
2022-10-13,722808
2022-10-14,724339
2022-10-15,726197
2022-10-16,728136
2022-10-17,729592
2022-10-18,731113
2022-10-19,732509
2022-10-20,734153
2022-10-21,735504
2022-10-22,737300
2022-10-23,739021
2022-10-24,740415
2022-10-25,741720
2022-10-26,743058
2022-10-27,744369
2022-10-28,745808
2022-10-29,747379
2022-10-30,749053
2022-10-31,750255
2022-11-01,751403
2022-11-02,752569
2022-11-03,754085
2022-11-04,755300
2022-11-05,756633
2022-11-06,758034
2022-11-07,759330
2022-11-08,760431
2022-11-09,761566
2022-11-10,762672
2022-11-11,763935
2022-11-12,765456
2022-11-13,767026
2022-11-14,768312
2022-11-15,769551
2022-11-16,770821
2022-11-17,772045
2022-11-18,773211
2022-11-19,774662
2022-11-20,776072
2022-11-21,777189
2022-11-22,778259
2022-11-23,779667
2022-11-24,780798
2022-11-25,781910
2022-11-26,783259
2022-11-27,784689
2022-11-28,785871
2022-11-29,787027
2022-11-30,788220
2022-12-01,789387
2022-12-02,790542
2022-12-03,791858
2022-12-04,793204
2022-12-05,794288
2022-12-06,795406
2022-12-07,796551
2022-12-08,797657
2022-12-09,798851
2022-12-10,800219
2022-12-11,801350
2022-12-12,802420
2022-12-13,803505
2022-12-14,804523
2022-12-15,805632
2022-12-16,806716
2022-12-17,808057
2022-12-18,809292
2022-12-19,810365
2022-12-20,811550
2022-12-21,812803
2022-12-22,814046
2022-12-23,815262
2022-12-24,816408
2022-12-25,817582
2022-12-26,818860
2022-12-27,820105
2022-12-28,821409
2022-12-29,822641
2022-12-30,823818
2022-12-31,824969
2023-01-01,825857
2023-01-02,826833
2023-01-03,828044
2023-01-04,829229
2023-01-05,830434
2023-01-06,831693
2023-01-07,832938
2023-01-08,834135
2023-01-09,835590
2023-01-10,836723
2023-01-11,837904
2023-01-12,839039
2023-01-13,840102
2023-01-14,841421
2023-01-15,842695
2023-01-16,843696
2023-01-17,844636
2023-01-18,845566
2023-01-19,846535
2023-01-20,847624
2023-01-21,848865
2023-01-22,850090
2023-01-23,851067
2023-01-24,852097
2023-01-25,853172
2023-01-26,854175
2023-01-27,855109
2023-01-28,856175
2023-01-29,857336
2023-01-30,858442
2023-01-31,859372
2023-02-01,860334
2023-02-02,861272
2023-02-03,862238
2023-02-04,863361
2023-02-05,864565
2023-02-06,865560
2023-02-07,866558
2023-02-08,867546
2023-02-09,868349
2023-02-10,869359
2023-02-11,870413
2023-02-12,871520
2023-02-13,872371
2023-02-14,873332
2023-02-15,874334
2023-02-16,875126
2023-02-17,875975
2023-02-18,877150
2023-02-19,878319
2023-02-20,879258
2023-02-21,880299
2023-02-22,881264
2023-02-23,882244
2023-02-24,883120
2023-02-25,884126
2023-02-26,885177
2023-02-27,886080
2023-02-28,886897
2023-03-01,887702
2023-03-02,888530
2023-03-03,889394
2023-03-04,890312
2023-03-05,891208
2023-03-06,892021
2023-03-07,892768
2023-03-08,893548
