date,count
2022-08-24,629944
2022-08-25,631420
2022-08-26,632845
2022-08-27,634318
2022-08-28,635930
2022-08-29,637381
2022-08-30,638759
2022-08-31,640097
2022-09-01,641338
2022-09-02,642466
2022-09-03,643913
2022-09-04,645302
2022-09-05,646388
2022-09-06,647494
2022-09-07,648620
2022-09-08,649812
2022-09-09,650827
2022-09-10,652307
2022-09-11,653802
2022-09-12,655006
2022-09-13,656106
2022-09-14,657293
2022-09-15,658403
2022-09-16,659516
2022-09-17,660811
2022-09-18,662094
2022-09-19,663375
2022-09-20,664534
2022-09-21,665617
2022-09-22,666840
2022-09-23,668320
2022-09-24,669761
2022-09-25,671203
2022-09-26,672373
2022-09-27,673613
2022-09-28,674852
2022-09-29,676457
2022-09-30,677700
2022-10-01,679163
2022-10-02,681041
2022-10-03,682494
2022-10-04,684023
2022-10-05,685466
2022-10-06,686799
2022-10-07,688232
2022-10-08,689838
2022-10-09,691459
2022-10-10,693269
2022-10-11,694715
2022-10-12,696121
2022-10-13,697570
2022-10-14,698827
2022-10-15,700286
2022-10-16,701898
2022-10-17,703272
2022-10-18,704585
2022-10-19,705823
2022-10-20,707091
2022-10-21,708239
2022-10-22,709610
2022-10-23,711019
2022-10-24,712267
2022-10-25,713421
2022-10-26,714462
2022-10-27,715693
2022-10-28,717406
2022-10-29,719123
2022-10-30,720934
2022-10-31,722391
2022-11-01,723732
2022-11-02,725017
2022-11-03,726567
2022-11-04,727803
2022-11-05,729165
2022-11-06,730493
2022-11-07,731811
2022-11-08,732935
2022-11-09,733997
2022-11-10,735103
2022-11-11,736142
2022-11-12,737449
2022-11-13,738918
2022-11-14,740096
2022-11-15,741168
2022-11-16,742241
2022-11-17,743297
2022-11-18,744328
2022-11-19,745488
2022-11-20,746679
2022-11-21,747688
2022-11-22,748670
2022-11-23,749949
2022-11-24,751028
2022-11-25,752076
2022-11-26,753282
2022-11-27,754541
2022-11-28,755503
2022-11-29,756619
2022-11-30,757677
2022-12-01,758698
2022-12-02,759701
2022-12-03,760927
2022-12-04,762330
2022-12-05,763334
2022-12-06,764405
2022-12-07,765366
2022-12-08,766386
2022-12-09,767341
2022-12-10,768533
2022-12-11,769669
2022-12-12,770671
2022-12-13,771664
2022-12-14,772659
2022-12-15,773608
2022-12-16,774491
2022-12-17,775645
2022-12-18,776745
2022-12-19,777744
2022-12-20,778673
2022-12-21,779613
2022-12-22,780614
2022-12-23,781691
2022-12-24,783088
2022-12-25,784758
2022-12-26,786122
2022-12-27,787230
2022-12-28,788344
2022-12-29,789414
2022-12-30,790376
2022-12-31,791367
2023-01-01,792096
2023-01-02,792911
2023-01-03,793790
2023-01-04,794670
2023-01-05,795612
2023-01-06,796563
2023-01-07,797587
2023-01-08,798584
2023-01-09,799801
2023-01-10,800771
2023-01-11,801753
2023-01-12,802699
2023-01-13,803626
