date,count
2022-08-24,1741248
2022-08-25,1745784
2022-08-26,1750119
2022-08-27,1754766
2022-08-28,1759133
2022-08-29,1763694
2022-08-30,1768066
2022-08-31,1772275
2022-09-01,1776223
2022-09-02,1780025
2022-09-03,1784559
2022-09-04,1788983
2022-09-05,1792944
2022-09-06,1797315
2022-09-07,1801458
2022-09-08,1805353
2022-09-09,1809176
2022-09-10,1813221
2022-09-11,1817388
2022-09-12,1821298
2022-09-13,1825028
2022-09-14,1828590
2022-09-15,1832503
2022-09-16,1836230
2022-09-17,1840093
2022-09-18,1844133
2022-09-19,1848203
2022-09-20,1851868
2022-09-21,1855435
2022-09-22,1859324
2022-09-23,1863749
2022-09-24,1867816
2022-09-25,1872040
2022-09-26,1875851
2022-09-27,1879899
2022-09-28,1883862
2022-09-29,1887756
2022-09-30,1891188
2022-10-01,1895231
2022-10-02,1900127
2022-10-03,1904770
2022-10-04,1909348
2022-10-05,1913528
2022-10-06,1917544
2022-10-07,1921603
2022-10-08,1925892
2022-10-09,1929905
2022-10-10,1934459
2022-10-11,1938419
2022-10-12,1942203
2022-10-13,1946095
2022-10-14,1949974
2022-10-15,1954041
2022-10-16,1958319
2022-10-17,1962457
2022-10-18,1966564
2022-10-19,1969985
2022-10-20,1973454
2022-10-21,1976760
2022-10-22,1980517
2022-10-23,1984296
2022-10-24,1987990
2022-10-25,1991499
2022-10-26,1994660
2022-10-27,1998052
2022-10-28,2002118
2022-10-29,2006225
2022-10-30,2010550
2022-10-31,2014407
2022-11-01,2018233
2022-11-02,2022009
2022-11-03,2026093
2022-11-04,2029543
2022-11-05,2032926
2022-11-06,2036422
2022-11-07,2039875
2022-11-08,2043312
2022-11-09,2046331
2022-11-10,2049626
2022-11-11,2052624
2022-11-12,2056430
2022-11-13,2060673
2022-11-14,2064122
2022-11-15,2067403
2022-11-16,2070971
2022-11-17,2075329
2022-11-18,2079507
2022-11-19,2083518
2022-11-20,2087578
2022-11-21,2091332
2022-11-22,2095241
2022-11-23,2099104
2022-11-24,2103043
2022-11-25,2106556
2022-11-26,2109985
2022-11-27,2113753
2022-11-28,2117297
2022-11-29,2120607
2022-11-30,2123750
2022-12-01,2126857
2022-12-02,2129862
2022-12-03,2132804
2022-12-04,2136147
2022-12-05,2138971
2022-12-06,2142023
2022-12-07,2144785
2022-12-08,2147523
2022-12-09,2150273
2022-12-10,2153618
2022-12-11,2156634
2022-12-12,2159577
2022-12-13,2162437
2022-12-14,2165124
2022-12-15,2167800
2022-12-16,2170592
2022-12-17,2173306
2022-12-18,2176046
2022-12-19,2178755
2022-12-20,2181531
2022-12-21,2184150
2022-12-22,2186875
2022-12-23,2189648
2022-12-24,2192313
2022-12-25,2194990
2022-12-26,2197869
2022-12-27,2200601
2022-12-28,2203330
2022-12-29,2206106
2022-12-30,2208832
2022-12-31,2211700
2023-01-01,2213951
2023-01-02,2216422
2023-01-03,2218989
2023-01-04,2221824
2023-01-05,2224640
2023-01-06,2227325
2023-01-07,2229875
