date,count
2022-10-09,0
2022-10-10,179570
2022-10-11,336687
2022-10-12,402734
2022-10-13,456020
2022-10-14,499064
2022-10-15,538091
2022-10-16,577089
2022-10-17,612261
2022-10-18,644591
2022-10-19,674780
2022-10-20,704979
2022-10-21,731388
2022-10-22,758539
2022-10-23,785328
2022-10-24,808775
2022-10-25,830141
2022-10-26,851695
2022-10-27,873784
2022-10-28,898483
2022-10-29,925648
2022-10-30,955657
2022-10-31,979962
2022-11-01,1003334
2022-11-02,1026031
2022-11-03,1050717
2022-11-04,1069963
2022-11-05,1089711
2022-11-06,1108297
2022-11-07,1127506
2022-11-08,1144814
2022-11-09,1161453
2022-11-10,1177970
2022-11-11,1194781
2022-11-12,1215358
2022-11-13,1236651
2022-11-14,1255342
2022-11-15,1272278
2022-11-16,1288366
2022-11-17,1303650
