date,count
2022-08-24,961347
2022-08-25,962082
2022-08-26,962756
2022-08-27,963602
2022-08-28,964332
2022-08-29,965003
2022-08-30,965675
2022-08-31,966342
2022-09-01,966954
2022-09-02,967502
2022-09-03,968247
2022-09-04,969059
2022-09-05,969624
2022-09-06,970240
2022-09-07,970853
2022-09-08,971470
2022-09-09,972037
2022-09-10,972677
2022-09-11,973350
2022-09-12,973946
2022-09-13,974486
2022-09-14,974968
2022-09-15,975532
2022-09-16,976061
2022-09-17,976779
2022-09-18,977540
2022-09-19,978214
2022-09-20,978774
2022-09-21,979399
2022-09-22,979942
2022-09-23,980697
2022-09-24,981404
2022-09-25,982090
2022-09-26,982701
2022-09-27,983350
2022-09-28,983923
2022-09-29,984573
2022-09-30,985071
2022-10-01,985815
2022-10-02,986734
2022-10-03,987384
2022-10-04,988146
2022-10-05,988915
2022-10-06,989669
2022-10-07,990440
2022-10-08,991412
2022-10-09,992345
2022-10-10,993224
2022-10-11,993940
2022-10-12,994648
2022-10-13,995460
2022-10-14,996200
2022-10-15,996992
2022-10-16,997801
2022-10-17,998468
2022-10-18,999154
2022-10-19,999808
2022-10-20,1000495
2022-10-21,1001092
2022-10-22,1001770
2022-10-23,1002562
2022-10-24,1003217
2022-10-25,1003784
2022-10-26,1004337
2022-10-27,1004922
2022-10-28,1005552
2022-10-29,1006349
2022-10-30,1007220
2022-10-31,1007933
2022-11-01,1008587
2022-11-02,1009225
2022-11-03,1009970
2022-11-04,1010593
2022-11-05,1011277
2022-11-06,1011969
2022-11-07,1012687
2022-11-08,1013327
2022-11-09,1013900
2022-11-10,1014449
2022-11-11,1014987
2022-11-12,1015682
2022-11-13,1016420
2022-11-14,1017006
2022-11-15,1017555
2022-11-16,1018129
2022-11-17,1018715
2022-11-18,1019218
2022-11-19,1019821
2022-11-20,1020463
2022-11-21,1021077
2022-11-22,1021615
2022-11-23,1022273
2022-11-24,1022914
2022-11-25,1023451
2022-11-26,1024095
2022-11-27,1024778
2022-11-28,1025323
2022-11-29,1025933
2022-11-30,1026460
2022-12-01,1026982
2022-12-02,1027484
2022-12-03,1028183
2022-12-04,1028862
2022-12-05,1029438
2022-12-06,1029994
2022-12-07,1030492
2022-12-08,1031037
2022-12-09,1031581
2022-12-10,1032171
2022-12-11,1032793
2022-12-12,1033364
2022-12-13,1033892
2022-12-14,1034446
2022-12-15,1034943
2022-12-16,1035390
2022-12-17,1036005
2022-12-18,1036583
2022-12-19,1037137
2022-12-20,1037615
2022-12-21,1038122
2022-12-22,1038672
2022-12-23,1039216
2022-12-24,1039828
2022-12-25,1040424
2022-12-26,1041057
2022-12-27,1041789
2022-12-28,1042504
2022-12-29,1043166
2022-12-30,1043786
2022-12-31,1044389
2023-01-01,1044879
2023-01-02,1045410
2023-01-03,1045980
2023-01-04,1046547
2023-01-05,1047155
2023-01-06,1047758
2023-01-07,1048336
2023-01-08,1048872
2023-01-09,1049601
2023-01-10,1050172
2023-01-11,1050768
2023-01-12,1051381
2023-01-13,1051947
2023-01-14,1052610
2023-01-15,1053317
2023-01-16,1053806
2023-01-17,1054357
2023-01-18,1054841
2023-01-19,1055387
2023-01-20,1055878
2023-01-21,1056498
2023-01-22,1057127
2023-01-23,1057606
2023-01-24,1058155
2023-01-25,1058724
2023-01-26,1059230
2023-01-27,1059723
2023-01-28,1060306
2023-01-29,1060912
2023-01-30,1061591
2023-01-31,1062191
2023-02-01,1062736
2023-02-02,1063253
2023-02-03,1063858
2023-02-04,1064578
2023-02-05,1065356
2023-02-06,1065959
2023-02-07,1066557
2023-02-08,1067172
2023-02-09,1067713
2023-02-10,1068379
2023-02-11,1069021
2023-02-12,1069765
2023-02-13,1070329
2023-02-14,1070925
2023-02-15,1071560
2023-02-16,1072124
2023-02-17,1072735
2023-02-18,1073433
2023-02-19,1074154
2023-02-20,1074799
2023-02-21,1075444
2023-02-22,1076000
2023-02-23,1076692
