date,count
2022-08-24,1874226
2022-08-25,1876670
2022-08-26,1879188
2022-08-27,1881713
2022-08-28,1884205
2022-08-29,1886444
2022-08-30,1888572
2022-08-31,1890602
2022-09-01,1892527
2022-09-02,1894310
2022-09-03,1896548
2022-09-04,1898847
2022-09-05,1900755
2022-09-06,1902602
2022-09-07,1904528
2022-09-08,1906352
2022-09-09,1908204
2022-09-10,1910517
2022-09-11,1912790
2022-09-12,1914679
2022-09-13,1916398
2022-09-14,1918085
2022-09-15,1919979
2022-09-16,1921891
2022-09-17,1924330
2022-09-18,1926636
2022-09-19,1928875
2022-09-20,1930729
2022-09-21,1932526
2022-09-22,1934285
2022-09-23,1936495
2022-09-24,1938740
2022-09-25,1940964
2022-09-26,1942932
2022-09-27,1945140
2022-09-28,1947102
2022-09-29,1949167
2022-09-30,1950763
2022-10-01,1952943
2022-10-02,1955431
2022-10-03,1957505
2022-10-04,1959633
2022-10-05,1961621
2022-10-06,1963816
2022-10-07,1965846
2022-10-08,1968096
2022-10-09,1970239
2022-10-10,1972617
2022-10-11,1974436
2022-10-12,1976183
2022-10-13,1977965
2022-10-14,1979609
2022-10-15,1981693
2022-10-16,1983830
2022-10-17,1985569
2022-10-18,1987191
2022-10-19,1988756
2022-10-20,1990895
2022-10-21,1992542
2022-10-22,1994471
2022-10-23,1996348
2022-10-24,1997896
2022-10-25,1999376
2022-10-26,2000791
2022-10-27,2002150
2022-10-28,2003559
2022-10-29,2005271
2022-10-30,2007045
2022-10-31,2008422
2022-11-01,2009729
2022-11-02,2011031
2022-11-03,2012694
2022-11-04,2014002
2022-11-05,2015506
2022-11-06,2016961
2022-11-07,2018454
2022-11-08,2019787
2022-11-09,2021263
2022-11-10,2022784
2022-11-11,2024261
