date,count
2022-08-24,978691
2022-08-25,979976
2022-08-26,981223
2022-08-27,982471
2022-08-28,983843
2022-08-29,985158
2022-08-30,986374
2022-08-31,987678
2022-09-01,988944
2022-09-02,990050
2022-09-03,991529
2022-09-04,992986
2022-09-05,994168
2022-09-06,995911
2022-09-07,997645
2022-09-08,999244
2022-09-09,1000760
2022-09-10,1002433
2022-09-11,1004010
2022-09-12,1005456
2022-09-13,1006823
2022-09-14,1008288
2022-09-15,1009716
2022-09-16,1011011
2022-09-17,1012427
2022-09-18,1013859
2022-09-19,1015571
2022-09-20,1017214
2022-09-21,1018567
2022-09-22,1019961
2022-09-23,1021445
2022-09-24,1022982
2022-09-25,1024648
2022-09-26,1026084
2022-09-27,1027502
2022-09-28,1028968
2022-09-29,1030535
2022-09-30,1031758
2022-10-01,1033280
2022-10-02,1034979
2022-10-03,1036433
2022-10-04,1037980
2022-10-05,1039431
2022-10-06,1040829
2022-10-07,1042218
2022-10-08,1043880
2022-10-09,1045495
2022-10-10,1047119
2022-10-11,1048586
2022-10-12,1049876
2022-10-13,1051359
2022-10-14,1052773
2022-10-15,1054245
2022-10-16,1055776
2022-10-17,1057256
2022-10-18,1058606
2022-10-19,1059916
2022-10-20,1061311
2022-10-21,1062495
2022-10-22,1063948
