date,count
2022-08-24,926663
2022-08-25,932191
2022-08-26,937431
2022-08-27,942788
2022-08-28,948112
2022-08-29,953296
2022-08-30,958335
2022-08-31,963373
2022-09-01,967828
2022-09-02,972252
2022-09-03,977555
2022-09-04,982678
2022-09-05,987219
2022-09-06,991899
2022-09-07,996454
2022-09-08,1001034
2022-09-09,1005279
2022-09-10,1009919
2022-09-11,1014507
2022-09-12,1018695
2022-09-13,1022622
2022-09-14,1026659
2022-09-15,1031119
2022-09-16,1035362
2022-09-17,1040287
2022-09-18,1045083
2022-09-19,1049872
2022-09-20,1054157
2022-09-21,1058457
2022-09-22,1062900
2022-09-23,1067863
2022-09-24,1072560
2022-09-25,1077295
2022-09-26,1081666
2022-09-27,1086338
2022-09-28,1091249
2022-09-29,1096545
2022-09-30,1100807
2022-10-01,1105925
2022-10-02,1111903
2022-10-03,1116965
2022-10-04,1122093
2022-10-05,1127198
2022-10-06,1131967
2022-10-07,1136641
2022-10-08,1142094
2022-10-09,1147193
2022-10-10,1152747
2022-10-11,1157725
2022-10-12,1162261
2022-10-13,1166923
2022-10-14,1171210
2022-10-15,1175747
2022-10-16,1180391
2022-10-17,1184783
2022-10-18,1189042
2022-10-19,1193046
2022-10-20,1197287
2022-10-21,1201033
2022-10-22,1204992
2022-10-23,1209399
2022-10-24,1213195
2022-10-25,1216872
2022-10-26,1220226
2022-10-27,1223593
2022-10-28,1227497
2022-10-29,1231687
2022-10-30,1236273
2022-10-31,1240446
2022-11-01,1244411
2022-11-02,1248197
2022-11-03,1252274
2022-11-04,1255836
2022-11-05,1259457
2022-11-06,1263027
2022-11-07,1266974
2022-11-08,1270090
2022-11-09,1273307
2022-11-10,1276383
2022-11-11,1279522
2022-11-12,1283522
2022-11-13,1287643
2022-11-14,1291036
2022-11-15,1294283
2022-11-16,1297552
2022-11-17,1300655
2022-11-18,1303609
2022-11-19,1306999
2022-11-20,1310488
2022-11-21,1313666
2022-11-22,1316705
2022-11-23,1320210
2022-11-24,1323218
2022-11-25,1326229
2022-11-26,1329350
2022-11-27,1332765
2022-11-28,1335540
2022-11-29,1338573
2022-11-30,1341672
2022-12-01,1344531
2022-12-02,1347546
2022-12-03,1350765
2022-12-04,1354340
2022-12-05,1357325
2022-12-06,1360429
2022-12-07,1363455
2022-12-08,1366443
2022-12-09,1369418
2022-12-10,1372612
2022-12-11,1375888
2022-12-12,1378924
2022-12-13,1381886
2022-12-14,1384845
2022-12-15,1387432
2022-12-16,1390320
2022-12-17,1393613
2022-12-18,1396769
2022-12-19,1399768
2022-12-20,1402662
2022-12-21,1405654
2022-12-22,1408631
2022-12-23,1411692
2022-12-24,1414605
2022-12-25,1417504
2022-12-26,1420632
2022-12-27,1423683
2022-12-28,1426575
2022-12-29,1429391
2022-12-30,1432321
2022-12-31,1435057
2023-01-01,1437249
2023-01-02,1439723
2023-01-03,1442360
2023-01-04,1444897
2023-01-05,1447663
2023-01-06,1450601
2023-01-07,1453365
2023-01-08,1456021
2023-01-09,1459097
2023-01-10,1461528
2023-01-11,1464448
2023-01-12,1467518
2023-01-13,1470694
2023-01-14,1473879
2023-01-15,1477221
2023-01-16,1480163
2023-01-17,1482963
2023-01-18,1485691
2023-01-19,1488349
2023-01-20,1490988
2023-01-21,1493686
2023-01-22,1496636
2023-01-23,1499444
2023-01-24,1502445
2023-01-25,1505478
2023-01-26,1508503
2023-01-27,1511636
2023-01-28,1514666
2023-01-29,1517991
2023-01-30,1521717
2023-01-31,1524796
2023-02-01,1528068
2023-02-02,1531257
2023-02-03,1534421
2023-02-04,1537930
2023-02-05,1541514
2023-02-06,1544538
2023-02-07,1547698
2023-02-08,1550826
2023-02-09,1553750
2023-02-10,1556957
2023-02-11,1559723
2023-02-12,1562810
2023-02-13,1565611
2023-02-14,1568481
2023-02-15,1571594
2023-02-16,1574354
2023-02-17,1577133
2023-02-18,1580389
2023-02-19,1583736
2023-02-20,1586535
2023-02-21,1589534
2023-02-22,1592450
2023-02-23,1595350
2023-02-24,1598219
2023-02-25,1601070
2023-02-26,1603851
2023-02-27,1606628
2023-02-28,1609231
2023-03-01,1612026
2023-03-02,1614824
2023-03-03,1617549
2023-03-04,1620442
2023-03-05,1623428
2023-03-06,1626269
2023-03-07,1629082
2023-03-08,1632026
2023-03-09,1634714
2023-03-10,1637608
2023-03-11,1640574
2023-03-12,1643805
2023-03-13,1646861
2023-03-14,1649704
2023-03-15,1652671
2023-03-16,1655475
2023-03-17,1658068
2023-03-18,1660885
2023-03-19,1663715
2023-03-20,1666539
2023-03-21,1669166
2023-03-22,1671556
2023-03-23,1674135
2023-03-24,1676802
2023-03-25,1679451
2023-03-26,1682134
2023-03-27,1684828
2023-03-28,1687295
2023-03-29,1689886
2023-03-30,1692271
2023-03-31,1694894
2023-04-01,1697356
2023-04-02,1699862
2023-04-03,1702553
2023-04-04,1705113
2023-04-05,1707694
2023-04-06,1710284
2023-04-07,1712615
2023-04-08,1715036
2023-04-09,1717544
2023-04-10,1719985
2023-04-11,1722220
2023-04-12,1724384
2023-04-13,1726324
