date,count
2022-10-09,0
2022-10-10,174711
2022-10-11,265379
2022-10-12,310538
2022-10-13,347770
2022-10-14,378239
2022-10-15,410501
2022-10-16,440064
2022-10-17,465669
2022-10-18,489258
2022-10-19,511779
2022-10-20,536116
2022-10-21,555368
2022-10-22,576982
2022-10-23,597511
2022-10-24,614751
2022-10-25,630461
2022-10-26,646463
2022-10-27,661513
2022-10-28,677458
2022-10-29,694309
2022-10-30,711395
2022-10-31,726278
2022-11-01,740141
2022-11-02,753692
2022-11-03,769924
2022-11-04,783067
2022-11-05,797601
2022-11-06,810624
2022-11-07,823173
2022-11-08,834625
