date,count
2022-08-24,4304139
2022-08-25,4321379
2022-08-26,4337032
2022-08-27,4352949
2022-08-28,4368236
2022-08-29,4382764
2022-08-30,4396422
2022-08-31,4410370
2022-09-01,4423271
2022-09-02,4435293
2022-09-03,4450930
2022-09-04,4466677
2022-09-05,4480421
2022-09-06,4493993
2022-09-07,4507470
2022-09-08,4520521
2022-09-09,4532944
2022-09-10,4547800
2022-09-11,4563832
2022-09-12,4577130
2022-09-13,4589364
2022-09-14,4601696
2022-09-15,4614729
2022-09-16,4627114
2022-09-17,4641548
2022-09-18,4656745
2022-09-19,4671861
2022-09-20,4684959
2022-09-21,4697661
2022-09-22,4710811
2022-09-23,4726431
2022-09-24,4741789
2022-09-25,4757415
2022-09-26,4770936
2022-09-27,4784142
2022-09-28,4797151
2022-09-29,4812914
2022-09-30,4825252
2022-10-01,4840500
2022-10-02,4857590
2022-10-03,4873148
2022-10-04,4888871
2022-10-05,4904384
2022-10-06,4919236
2022-10-07,4933934
2022-10-08,4951546
2022-10-09,4968060
2022-10-10,4985671
2022-10-11,5000442
2022-10-12,5015267
