date,count
2022-09-21,0
2022-09-22,168736
2022-09-23,358741
2022-09-24,415765
2022-09-25,467930
2022-09-26,505427
2022-09-27,540255
2022-09-28,571571
2022-09-29,603062
2022-09-30,629689
2022-10-01,663361
2022-10-02,694683
2022-10-03,717055
2022-10-04,738684
2022-10-05,757956
2022-10-06,777350
2022-10-07,795477
2022-10-08,816421
2022-10-09,835389
2022-10-10,855336
2022-10-11,871987
2022-10-12,888036
2022-10-13,903842
2022-10-14,919003
2022-10-15,936564
2022-10-16,953826
2022-10-17,968148
2022-10-18,981224
2022-10-19,993856
2022-10-20,1007385
2022-10-21,1019084
2022-10-22,1032281
2022-10-23,1045748
2022-10-24,1057092
2022-10-25,1068159
2022-10-26,1078781
2022-10-27,1089148
2022-10-28,1100760
2022-10-29,1115215
