date,count
2022-08-24,2098698
2022-08-25,2102284
2022-08-26,2105911
2022-08-27,2109981
2022-08-28,2113982
2022-08-29,2118004
2022-08-30,2121994
2022-08-31,2125810
2022-09-01,2129413
2022-09-02,2132773
2022-09-03,2136999
2022-09-04,2141225
2022-09-05,2144883
2022-09-06,2148888
2022-09-07,2152600
2022-09-08,2156304
2022-09-09,2159735
2022-09-10,2163976
2022-09-11,2168570
2022-09-12,2172576
2022-09-13,2176529
2022-09-14,2180240
2022-09-15,2183945
2022-09-16,2187453
2022-09-17,2191656
2022-09-18,2195842
2022-09-19,2200073
2022-09-20,2203890
2022-09-21,2207431
2022-09-22,2211408
2022-09-23,2215978
2022-09-24,2220150
2022-09-25,2225028
2022-09-26,2229264
2022-09-27,2233634
2022-09-28,2238589
2022-09-29,2243563
2022-09-30,2247589
2022-10-01,2252900
2022-10-02,2259243
2022-10-03,2264936
2022-10-04,2270687
2022-10-05,2276451
2022-10-06,2281849
2022-10-07,2287238
2022-10-08,2293665
2022-10-09,2299633
2022-10-10,2305862
2022-10-11,2311071
2022-10-12,2315674
2022-10-13,2320685
2022-10-14,2325399
2022-10-15,2330345
2022-10-16,2335560
2022-10-17,2340463
