date,count
2022-08-24,3937469
2022-08-25,3942277
2022-08-26,3947334
2022-08-27,3952487
2022-08-28,3957535
2022-08-29,3962433
2022-08-30,3967285
2022-08-31,3972485
2022-09-01,3977110
2022-09-02,3981376
2022-09-03,3987313
2022-09-04,3993009
2022-09-05,3997512
2022-09-06,4002103
2022-09-07,4006752
2022-09-08,4011071
2022-09-09,4015046
2022-09-10,4020126
2022-09-11,4025362
2022-09-12,4029565
2022-09-13,4033338
2022-09-14,4037191
2022-09-15,4041478
2022-09-16,4045538
2022-09-17,4050888
2022-09-18,4056380
2022-09-19,4061223
2022-09-20,4065243
2022-09-21,4069180
2022-09-22,4073151
2022-09-23,4077946
2022-09-24,4082850
2022-09-25,4088051
2022-09-26,4092212
2022-09-27,4096382
2022-09-28,4100824
2022-09-29,4105884
2022-09-30,4110023
2022-10-01,4115452
2022-10-02,4121422
2022-10-03,4126357
2022-10-04,4131492
2022-10-05,4136500
2022-10-06,4141783
2022-10-07,4147169
2022-10-08,4153419
2022-10-09,4159110
2022-10-10,4165094
2022-10-11,4170301
2022-10-12,4175359
2022-10-13,4179908
2022-10-14,4184453
2022-10-15,4190185
2022-10-16,4195907
2022-10-17,4200713
2022-10-18,4205078
2022-10-19,4209223
2022-10-20,4213763
2022-10-21,4217821
2022-10-22,4223009
2022-10-23,4228109
2022-10-24,4232410
2022-10-25,4236399
2022-10-26,4240210
2022-10-27,4244261
2022-10-28,4248821
2022-10-29,4254153
2022-10-30,4259824
2022-10-31,4264387
2022-11-01,4268384
2022-11-02,4272257
2022-11-03,4276944
2022-11-04,4280683
2022-11-05,4285117
2022-11-06,4289221
2022-11-07,4293304
2022-11-08,4296784
2022-11-09,4300594
2022-11-10,4304182
2022-11-11,4307796
2022-11-12,4312315
2022-11-13,4317091
2022-11-14,4321211
2022-11-15,4325265
2022-11-16,4329258
2022-11-17,4333447
2022-11-18,4336987
2022-11-19,4341507
2022-11-20,4345801
2022-11-21,4349228
2022-11-22,4352925
2022-11-23,4356999
2022-11-24,4360420
2022-11-25,4363783
2022-11-26,4368046
2022-11-27,4372121
2022-11-28,4375083
2022-11-29,4378371
2022-11-30,4381464
2022-12-01,4384475
2022-12-02,4387396
2022-12-03,4390906
2022-12-04,4394640
2022-12-05,4397417
2022-12-06,4400541
2022-12-07,4403698
2022-12-08,4407020
2022-12-09,4410211
2022-12-10,4414151
2022-12-11,4417937
2022-12-12,4421228
2022-12-13,4424525
2022-12-14,4427517
2022-12-15,4430611
2022-12-16,4433999
2022-12-17,4437728
2022-12-18,4441208
2022-12-19,4444023
2022-12-20,4446911
2022-12-21,4450033
2022-12-22,4452825
2022-12-23,4455912
2022-12-24,4459039
2022-12-25,4462331
2022-12-26,4466105
2022-12-27,4469764
2022-12-28,4473360
2022-12-29,4476713
2022-12-30,4479909
2022-12-31,4483347
2023-01-01,4486010
2023-01-02,4488983
2023-01-03,4492104
2023-01-04,4495409
2023-01-05,4498736
2023-01-06,4502160
2023-01-07,4505700
2023-01-08,4508909
2023-01-09,4512808
2023-01-10,4515816
2023-01-11,4520901
2023-01-12,4525135
2023-01-13,4528831
2023-01-14,4533146
2023-01-15,4537344
2023-01-16,4540536
2023-01-17,4543830
2023-01-18,4547124
2023-01-19,4550142
2023-01-20,4553533
2023-01-21,4557529
2023-01-22,4561524
2023-01-23,4564787
2023-01-24,4568161
2023-01-25,4571433
2023-01-26,4574605
2023-01-27,4577844
2023-01-28,4581684
2023-01-29,4585594
2023-01-30,4588794
2023-01-31,4591997
2023-02-01,4595115
2023-02-02,4598207
2023-02-03,4601309
2023-02-04,4604647
2023-02-05,4608189
2023-02-06,4611157
2023-02-07,4614186
2023-02-08,4617114
2023-02-09,4619952
2023-02-10,4622950
