date,count
2022-08-24,2924660
2022-08-25,2929385
2022-08-26,2933811
2022-08-27,2938426
2022-08-28,2942978
2022-08-29,2947701
2022-08-30,2952086
2022-08-31,2956432
2022-09-01,2960531
2022-09-02,2964419
2022-09-03,2969309
2022-09-04,2973843
2022-09-05,2977861
2022-09-06,2982041
2022-09-07,2986320
2022-09-08,2990420
2022-09-09,2994218
2022-09-10,2998747
2022-09-11,3003402
2022-09-12,3007550
2022-09-13,3011186
2022-09-14,3014924
2022-09-15,3019002
2022-09-16,3022748
2022-09-17,3027271
2022-09-18,3031516
2022-09-19,3035572
2022-09-20,3039197
2022-09-21,3043075
2022-09-22,3047168
2022-09-23,3051715
2022-09-24,3056062
2022-09-25,3060463
2022-09-26,3064694
2022-09-27,3068963
2022-09-28,3073444
2022-09-29,3078336
2022-09-30,3082566
2022-10-01,3087785
2022-10-02,3093559
