date,count
2022-08-24,6726091
2022-08-25,6742758
2022-08-26,6759817
2022-08-27,6777207
2022-08-28,6793932
2022-08-29,6809043
2022-08-30,6823474
2022-08-31,6837569
2022-09-01,6850118
2022-09-02,6861980
2022-09-03,6879198
2022-09-04,6895913
2022-09-05,6909603
2022-09-06,6922714
2022-09-07,6934960
2022-09-08,6947548
2022-09-09,6959537
2022-09-10,6974061
2022-09-11,6987823
2022-09-12,6998724
2022-09-13,7008723
2022-09-14,7019319
2022-09-15,7031447
2022-09-16,7043615
2022-09-17,7058936
2022-09-18,7073705
2022-09-19,7087349
2022-09-20,7098301
2022-09-21,7108637
2022-09-22,7120060
2022-09-23,7135809
2022-09-24,7150091
2022-09-25,7164345
2022-09-26,7175996
2022-09-27,7186827
2022-09-28,7196940
2022-09-29,7207843
2022-09-30,7217113
2022-10-01,7229698
2022-10-02,7243834
2022-10-03,7254346
2022-10-04,7266094
2022-10-05,7277742
2022-10-06,7288953
2022-10-07,7299681
2022-10-08,7312483
