date,count
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,56981
2023-03-20,436525
2023-03-21,584560
2023-03-22,694166
2023-03-23,788715
2023-03-24,875737
2023-03-25,954812
2023-03-26,1029119
2023-03-27,1098873
2023-03-28,1160677
2023-03-29,1226359
2023-03-30,1285056
2023-03-31,1341113
2023-04-01,1389559
2023-04-02,1439274
2023-04-03,1490407
2023-04-04,1540391
2023-04-05,1589659
2023-04-06,1638460
2023-04-07,1688134
2023-04-08,1734675
2023-04-09,1780660
2023-04-10,1820797
2023-04-11,1858506
2023-04-12,1894254
2023-04-13,1928105
2023-04-14,1961844
2023-04-15,1998169
2023-04-16,2034618
2023-04-17,2066239
2023-04-18,2095413
2023-04-19,2125288
2023-04-20,2153804
2023-04-21,2181957
2023-04-22,2214603
2023-04-23,2249445
2023-04-24,2277969
2023-04-25,2306322
2023-04-26,2334228
2023-04-27,2360762
2023-04-28,2388253
2023-04-29,2419581
2023-04-30,2450079
2023-05-01,2477576
2023-05-02,2505427
2023-05-03,2534618
2023-05-04,2560361
2023-05-05,2585016
2023-05-06,2608980
2023-05-07,2633831
2023-05-08,2656224
2023-05-09,2678448
2023-05-10,2703804
2023-05-11,2727471
2023-05-12,2751759
2023-05-13,2778587
2023-05-14,2806696
2023-05-15,2830755
2023-05-16,2850738
2023-05-17,2877579
