date,count
2022-08-24,4469961
2022-08-25,4476383
2022-08-26,4482221
2022-08-27,4488279
2022-08-28,4494989
2022-08-29,4501931
2022-08-30,4507953
2022-08-31,4514183
2022-09-01,4519855
2022-09-02,4524927
2022-09-03,4531591
2022-09-04,4537945
2022-09-05,4543396
2022-09-06,4549392
2022-09-07,4554710
2022-09-08,4560106
2022-09-09,4565105
2022-09-10,4570878
2022-09-11,4577101
2022-09-12,4582236
2022-09-13,4586989
2022-09-14,4591785
2022-09-15,4597265
2022-09-16,4602737
2022-09-17,4609507
2022-09-18,4616504
2022-09-19,4623547
2022-09-20,4629614
2022-09-21,4635189
2022-09-22,4640814
2022-09-23,4647603
2022-09-24,4654112
2022-09-25,4660454
2022-09-26,4665958
2022-09-27,4671602
2022-09-28,4677025
2022-09-29,4683030
2022-09-30,4687917
2022-10-01,4693912
2022-10-02,4700804
2022-10-03,4706548
2022-10-04,4712811
2022-10-05,4719001
2022-10-06,4725229
2022-10-07,4731213
2022-10-08,4738169
2022-10-09,4744972
2022-10-10,4752299
2022-10-11,4758201
2022-10-12,4764094
2022-10-13,4770005
2022-10-14,4775726
2022-10-15,4782583
2022-10-16,4789873
