date,count
2022-08-29,10
2022-08-30,107512
2022-08-31,0
2022-09-01,74316
2022-09-02,86538
2022-09-03,100907
2022-09-04,111656
2022-09-05,120219
2022-09-06,128198
2022-09-07,135333
2022-09-08,142080
2022-09-09,147185
2022-09-10,152799
2022-09-11,158607
2022-09-12,163480
2022-09-13,167871
2022-09-14,172171
2022-09-15,176690
2022-09-16,181010
2022-09-17,185902
2022-09-18,190909
2022-09-19,195780
2022-09-20,199956
2022-09-21,204105
2022-09-22,208660
2022-09-23,214443
2022-09-24,219253
2022-09-25,223924
2022-09-26,227580
2022-09-27,230960
2022-09-28,234281
2022-09-29,239194
2022-09-30,243456
2022-10-01,248475
2022-10-02,253733
2022-10-03,257661
2022-10-04,261612
2022-10-05,265456
2022-10-06,268903
2022-10-07,272356
2022-10-08,276427
2022-10-09,280131
2022-10-10,284291
2022-10-11,287669
2022-10-12,290724
2022-10-13,293655
2022-10-14,296269
2022-10-15,299212
2022-10-16,302405
2022-10-17,305297
2022-10-18,307894
2022-10-19,310254
2022-10-20,312610
2022-10-21,314785
2022-10-22,317347
2022-10-23,320039
2022-10-24,322369
2022-10-25,324451
2022-10-26,326411
2022-10-27,328512
2022-10-28,330819
2022-10-29,333607
2022-10-30,336877
2022-10-31,339561
2022-11-01,342051
2022-11-02,344455
2022-11-03,347273
2022-11-04,349494
2022-11-05,351796
2022-11-06,354088
2022-11-07,356515
2022-11-08,358411
2022-11-09,360260
2022-11-10,362136
2022-11-11,363919
2022-11-12,366246
2022-11-13,368848
2022-11-14,370852
2022-11-15,372703
2022-11-16,374593
