date,count
2022-08-24,1076807
2022-08-25,1077615
2022-08-26,1078448
2022-08-27,1079346
2022-08-28,1080209
2022-08-29,1080996
2022-08-30,1081785
2022-08-31,1082602
2022-09-01,1083306
2022-09-02,1083927
2022-09-03,1084778
2022-09-04,1085715
2022-09-05,1086456
2022-09-06,1087146
2022-09-07,1087898
2022-09-08,1088580
2022-09-09,1089230
2022-09-10,1090038
2022-09-11,1090868
2022-09-12,1091481
2022-09-13,1092057
2022-09-14,1092681
2022-09-15,1093328
2022-09-16,1093956
2022-09-17,1094812
2022-09-18,1095678
2022-09-19,1096489
2022-09-20,1097139
2022-09-21,1097747
2022-09-22,1098370
2022-09-23,1099177
2022-09-24,1100075
2022-09-25,1100981
2022-09-26,1101623
2022-09-27,1102319
2022-09-28,1103069
2022-09-29,1103820
2022-09-30,1104650
2022-10-01,1105869
2022-10-02,1107173
2022-10-03,1108075
2022-10-04,1108937
2022-10-05,1109775
2022-10-06,1110646
2022-10-07,1111436
2022-10-08,1112367
2022-10-09,1113308
2022-10-10,1114309
2022-10-11,1115083
2022-10-12,1115846
2022-10-13,1116487
2022-10-14,1117110
2022-10-15,1117930
2022-10-16,1118768
2022-10-17,1119469
2022-10-18,1120055
2022-10-19,1120639
2022-10-20,1121284
2022-10-21,1121907
2022-10-22,1122649
2022-10-23,1123413
2022-10-24,1124067
2022-10-25,1124667
2022-10-26,1125247
2022-10-27,1125845
2022-10-28,1126461
2022-10-29,1127154
2022-10-30,1127893
2022-10-31,1128507
2022-11-01,1129031
2022-11-02,1129590
2022-11-03,1130304
2022-11-04,1130822
2022-11-05,1131447
2022-11-06,1132038
2022-11-07,1132634
2022-11-08,1133183
2022-11-09,1133767
2022-11-10,1134301
2022-11-11,1134784
2022-11-12,1135446
2022-11-13,1136218
2022-11-14,1136829
2022-11-15,1137440
2022-11-16,1137970
2022-11-17,1138528
2022-11-18,1139092
2022-11-19,1139667
2022-11-20,1140348
2022-11-21,1140857
2022-11-22,1141426
2022-11-23,1142172
2022-11-24,1142728
2022-11-25,1143246
2022-11-26,1143900
2022-11-27,1144582
2022-11-28,1145063
2022-11-29,1145564
2022-11-30,1146069
