date,count
2022-08-24,1856967
2022-08-25,1859034
2022-08-26,1861258
2022-08-27,1863446
2022-08-28,1865565
2022-08-29,1867723
2022-08-30,1869729
2022-08-31,1871765
2022-09-01,1873711
2022-09-02,1875391
2022-09-03,1877675
2022-09-04,1879910
2022-09-05,1881799
2022-09-06,1883788
2022-09-07,1885604
2022-09-08,1887512
2022-09-09,1889337
2022-09-10,1891501
2022-09-11,1893697
2022-09-12,1895573
2022-09-13,1897307
2022-09-14,1898970
2022-09-15,1900775
2022-09-16,1902636
2022-09-17,1904771
2022-09-18,1907113
2022-09-19,1909333
2022-09-20,1911181
2022-09-21,1913011
2022-09-22,1914882
2022-09-23,1917189
2022-09-24,1919339
2022-09-25,1921539
2022-09-26,1923469
2022-09-27,1925360
2022-09-28,1927161
2022-09-29,1929232
2022-09-30,1930860
2022-10-01,1933013
2022-10-02,1935357
2022-10-03,1937352
2022-10-04,1939385
2022-10-05,1941147
2022-10-06,1943373
2022-10-07,1945551
2022-10-08,1948105
2022-10-09,1950348
2022-10-10,1952774
2022-10-11,1954620
2022-10-12,1956572
2022-10-13,1958476
2022-10-14,1960412
2022-10-15,1962591
2022-10-16,1964812
2022-10-17,1966694
2022-10-18,1968571
2022-10-19,1970329
2022-10-20,1972161
2022-10-21,1973840
2022-10-22,1975773
2022-10-23,1977656
2022-10-24,1979286
2022-10-25,1980745
2022-10-26,1982188
2022-10-27,1983621
2022-10-28,1985275
2022-10-29,1987087
2022-10-30,1988999
2022-10-31,1990514
2022-11-01,1991969
2022-11-02,1993456
2022-11-03,1995294
2022-11-04,1996688
2022-11-05,1998277
2022-11-06,1999831
2022-11-07,2001344
2022-11-08,2002788
2022-11-09,2004230
2022-11-10,2005783
2022-11-11,2007234
2022-11-12,2009108
2022-11-13,2011000
2022-11-14,2012647
2022-11-15,2014376
2022-11-16,2015969
2022-11-17,2017600
2022-11-18,2019132
2022-11-19,2020797
2022-11-20,2022513
2022-11-21,2023864
2022-11-22,2025281
2022-11-23,2026914
2022-11-24,2028346
2022-11-25,2029799
2022-11-26,2031441
2022-11-27,2033029
2022-11-28,2034305
2022-11-29,2035646
2022-11-30,2036979
2022-12-01,2038406
2022-12-02,2039696
