date,count
2022-08-24,1263861
2022-08-25,1265877
2022-08-26,1267708
2022-08-27,1269566
2022-08-28,1271406
2022-08-29,1273072
2022-08-30,1274594
2022-08-31,1276193
2022-09-01,1277608
2022-09-02,1278930
2022-09-03,1280851
2022-09-04,1282766
2022-09-05,1284198
2022-09-06,1285600
2022-09-07,1287021
2022-09-08,1288409
2022-09-09,1289783
2022-09-10,1291527
2022-09-11,1293361
2022-09-12,1294747
2022-09-13,1295984
2022-09-14,1297379
2022-09-15,1298832
2022-09-16,1300203
2022-09-17,1301784
2022-09-18,1303497
2022-09-19,1305151
2022-09-20,1306488
2022-09-21,1307863
