date,count
2022-08-24,4132769
2022-08-25,4139088
2022-08-26,4144978
2022-08-27,4150870
2022-08-28,4156912
2022-08-29,4162460
2022-08-30,4167906
2022-08-31,4173197
2022-09-01,4178342
2022-09-02,4182874
2022-09-03,4188696
2022-09-04,4194665
2022-09-05,4199776
2022-09-06,4204729
2022-09-07,4209681
2022-09-08,4214312
2022-09-09,4219114
2022-09-10,4224553
2022-09-11,4230356
2022-09-12,4235156
2022-09-13,4239642
2022-09-14,4244140
2022-09-15,4249324
2022-09-16,4254184
2022-09-17,4260074
2022-09-18,4266065
2022-09-19,4271572
2022-09-20,4276601
2022-09-21,4281434
2022-09-22,4286531
2022-09-23,4292107
2022-09-24,4297927
2022-09-25,4303643
2022-09-26,4308758
2022-09-27,4313992
2022-09-28,4319271
2022-09-29,4324853
2022-09-30,4329376
2022-10-01,4334968
2022-10-02,4340976
2022-10-03,4346063
2022-10-04,4351374
2022-10-05,4357029
2022-10-06,4362781
2022-10-07,4368648
2022-10-08,4375118
2022-10-09,4381179
2022-10-10,4387952
2022-10-11,4393400
2022-10-12,4398673
2022-10-13,4404186
2022-10-14,4409445
2022-10-15,4415240
2022-10-16,4421662
2022-10-17,4426773
2022-10-18,4431610
2022-10-19,4436470
2022-10-20,4441572
2022-10-21,4446352
2022-10-22,4451634
2022-10-23,4457057
2022-10-24,4461827
2022-10-25,4466481
2022-10-26,4471230
2022-10-27,4475971
2022-10-28,4481102
2022-10-29,4486291
2022-10-30,4491572
2022-10-31,4496197
2022-11-01,4500564
2022-11-02,4505057
2022-11-03,4510215
2022-11-04,4514369
2022-11-05,4519020
2022-11-06,4523456
2022-11-07,4527757
2022-11-08,4531689
2022-11-09,4535885
2022-11-10,4540025
2022-11-11,4544214
2022-11-12,4549083
2022-11-13,4554304
2022-11-14,4558751
2022-11-15,4562949
2022-11-16,4567186
2022-11-17,4571394
2022-11-18,4575286
2022-11-19,4579676
2022-11-20,4584122
2022-11-21,4587835
2022-11-22,4591592
2022-11-23,4596012
2022-11-24,4599856
2022-11-25,4603528
2022-11-26,4607628
2022-11-27,4612039
2022-11-28,4615578
2022-11-29,4619601
2022-11-30,4623166
2022-12-01,4626775
2022-12-02,4630255
2022-12-03,4634310
2022-12-04,4638649
2022-12-05,4642114
2022-12-06,4645542
2022-12-07,4648996
2022-12-08,4652377
2022-12-09,4655835
2022-12-10,4660127
2022-12-11,4664241
2022-12-12,4667777
2022-12-13,4671515
2022-12-14,4675252
2022-12-15,4678472
2022-12-16,4682191
2022-12-17,4685977
2022-12-18,4689774
2022-12-19,4693146
2022-12-20,4696471
2022-12-21,4700165
2022-12-22,4703763
2022-12-23,4707333
2022-12-24,4710694
2022-12-25,4714151
2022-12-26,4718076
2022-12-27,4722042
2022-12-28,4726553
2022-12-29,4730735
2022-12-30,4734435
2022-12-31,4738187
2023-01-01,4741024
2023-01-02,4744296
2023-01-03,4747802
2023-01-04,4751460
2023-01-05,4755199
2023-01-06,4758723
2023-01-07,4762203
2023-01-08,4765555
2023-01-09,4769688
2023-01-10,4772539
2023-01-11,4776745
2023-01-12,4780442
2023-01-13,4783936
2023-01-14,4788239
2023-01-15,4792458
2023-01-16,4795664
2023-01-17,4799060
2023-01-18,4802457
2023-01-19,4805852
2023-01-20,4809390
2023-01-21,4813191
2023-01-22,4817340
2023-01-23,4820855
2023-01-24,4824393
2023-01-25,4828077
2023-01-26,4831606
2023-01-27,4835094
2023-01-28,4839007
2023-01-29,4842964
2023-01-30,4846447
2023-01-31,4849836
2023-02-01,4853047
2023-02-02,4856110
2023-02-03,4859416
2023-02-04,4862927
2023-02-05,4866804
2023-02-06,4870355
2023-02-07,4873739
2023-02-08,4877105
2023-02-09,4880355
2023-02-10,4884021
2023-02-11,4887514
2023-02-12,4891380
2023-02-13,4894777
2023-02-14,4898078
2023-02-15,4901675
2023-02-16,4904837
2023-02-17,4908163
2023-02-18,4911742
2023-02-19,4915646
2023-02-20,4918871
2023-02-21,4922104
2023-02-22,4925355
2023-02-23,4928943
2023-02-24,4932083
2023-02-25,4935501
2023-02-26,4938603
2023-02-27,4941706
2023-02-28,4944743
2023-03-01,4947779
2023-03-02,4950598
2023-03-03,4953516
2023-03-04,4956678
2023-03-05,4959818
2023-03-06,4962441
2023-03-07,4964998
2023-03-08,4967431
2023-03-09,4970093
2023-03-10,4972886
2023-03-11,4975809
2023-03-12,4978803
2023-03-13,4981564
2023-03-14,4984156
2023-03-15,4986933
2023-03-16,4989842
2023-03-17,4992659
2023-03-18,4995542
2023-03-19,4998481
2023-03-20,5001371
2023-03-21,5004134
2023-03-22,5006952
2023-03-23,5009801
2023-03-24,5013065
2023-03-25,5016165
2023-03-26,5019415
2023-03-27,5022631
2023-03-28,5025702
2023-03-29,5028812
2023-03-30,5031764
2023-03-31,5034873
2023-04-01,5037793
2023-04-02,5040955
2023-04-03,5044181
2023-04-04,5047301
2023-04-05,5050433
2023-04-06,5053559
2023-04-07,5056701
2023-04-08,5060036
2023-04-09,5063377
2023-04-10,5066278
2023-04-11,5068854
2023-04-12,5071517
2023-04-13,5074068
2023-04-14,5076655
2023-04-15,5079461
2023-04-16,5082291
2023-04-17,5084705
2023-04-18,5086908
2023-04-19,5089365
2023-04-20,5091847
2023-04-21,5094418
2023-04-22,5097494
2023-04-23,5101008
2023-04-24,5103789
2023-04-25,5106182
2023-04-26,5108621
2023-04-27,5110979
2023-04-28,5113323
2023-04-29,5115825
2023-04-30,5118352
2023-05-01,5120608
2023-05-02,5122726
2023-05-03,5125087
2023-05-04,5127537
2023-05-05,5130152
2023-05-06,5132870
2023-05-07,5135752
2023-05-08,5138092
2023-05-09,5140266
2023-05-10,5142999
