date,count
2022-08-24,4160513
2022-08-25,4163717
2022-08-26,4166961
2022-08-27,4170425
2022-08-28,4173738
2022-08-29,4176835
2022-08-30,4179986
2022-08-31,4183121
2022-09-01,4186054
2022-09-02,4188627
2022-09-03,4191912
2022-09-04,4195230
2022-09-05,4198041
2022-09-06,4200869
2022-09-07,4203681
2022-09-08,4206434
2022-09-09,4209115
2022-09-10,4212147
2022-09-11,4215359
2022-09-12,4218095
2022-09-13,4220572
2022-09-14,4223540
2022-09-15,4226488
2022-09-16,4229155
2022-09-17,4232109
2022-09-18,4235138
2022-09-19,4238063
2022-09-20,4240667
2022-09-21,4243292
2022-09-22,4245963
2022-09-23,4248973
2022-09-24,4252095
2022-09-25,4255439
2022-09-26,4258346
2022-09-27,4261175
2022-09-28,4264099
2022-09-29,4267242
2022-09-30,4269845
2022-10-01,4273269
2022-10-02,4277494
2022-10-03,4280921
2022-10-04,4284502
2022-10-05,4287868
2022-10-06,4291344
2022-10-07,4294552
2022-10-08,4298110
2022-10-09,4301583
2022-10-10,4305234
2022-10-11,4308059
2022-10-12,4310918
2022-10-13,4314013
2022-10-14,4316778
2022-10-15,4319822
2022-10-16,4323017
2022-10-17,4326025
2022-10-18,4328804
2022-10-19,4331395
2022-10-20,4333984
2022-10-21,4336762
2022-10-22,4339802
2022-10-23,4343081
2022-10-24,4345841
2022-10-25,4348388
2022-10-26,4350898
2022-10-27,4353376
2022-10-28,4356272
2022-10-29,4359519
2022-10-30,4363196
2022-10-31,4366226
2022-11-01,4369136
2022-11-02,4371987
2022-11-03,4375200
2022-11-04,4377772
2022-11-05,4380458
