date,count
2022-08-24,519361
2022-08-25,519880
2022-08-26,520407
2022-08-27,520974
2022-08-28,521550
2022-08-29,522040
2022-08-30,522562
2022-08-31,523063
2022-09-01,523526
2022-09-02,523905
2022-09-03,524544
2022-09-04,525101
2022-09-05,525570
2022-09-06,526019
2022-09-07,526498
2022-09-08,526983
2022-09-09,527372
2022-09-10,527948
2022-09-11,528574
2022-09-12,529038
2022-09-13,529485
2022-09-14,529925
2022-09-15,530446
2022-09-16,530850
2022-09-17,531380
2022-09-18,531983
2022-09-19,532507
2022-09-20,532952
2022-09-21,533388
2022-09-22,533826
2022-09-23,534381
2022-09-24,534920
2022-09-25,535473
2022-09-26,535913
2022-09-27,536376
2022-09-28,536872
2022-09-29,537344
2022-09-30,537749
2022-10-01,538321
2022-10-02,538990
2022-10-03,539540
2022-10-04,540095
2022-10-05,540627
2022-10-06,541177
2022-10-07,541703
2022-10-08,542309
2022-10-09,542963
2022-10-10,543620
2022-10-11,544097
2022-10-12,544569
2022-10-13,545079
2022-10-14,545588
2022-10-15,546141
2022-10-16,546745
2022-10-17,547229
2022-10-18,547680
2022-10-19,548123
2022-10-20,548568
2022-10-21,548960
2022-10-22,549470
2022-10-23,550024
2022-10-24,550464
2022-10-25,550907
2022-10-26,551316
2022-10-27,551732
2022-10-28,552159
2022-10-29,552644
2022-10-30,553163
2022-10-31,553588
2022-11-01,554011
2022-11-02,554439
2022-11-03,554953
2022-11-04,555350
2022-11-05,555808
2022-11-06,556246
2022-11-07,556671
2022-11-08,557088
2022-11-09,557480
2022-11-10,557884
2022-11-11,558265
2022-11-12,558816
2022-11-13,559379
2022-11-14,559801
2022-11-15,560234
2022-11-16,560653
2022-11-17,561115
2022-11-18,561544
2022-11-19,562019
2022-11-20,562492
2022-11-21,562912
2022-11-22,563287
2022-11-23,563783
2022-11-24,564172
2022-11-25,564554
2022-11-26,565048
2022-11-27,565547
2022-11-28,565908
2022-11-29,566304
2022-11-30,566625
2022-12-01,567002
2022-12-02,567341
2022-12-03,567780
2022-12-04,568201
2022-12-05,568562
2022-12-06,568917
2022-12-07,569292
2022-12-08,569658
2022-12-09,570068
2022-12-10,570521
2022-12-11,570939
2022-12-12,571273
2022-12-13,571596
2022-12-14,571955
2022-12-15,572326
2022-12-16,572721
2022-12-17,573185
2022-12-18,573632
2022-12-19,573983
2022-12-20,574309
2022-12-21,574702
2022-12-22,575069
2022-12-23,575468
2022-12-24,575881
2022-12-25,576305
2022-12-26,576743
2022-12-27,577161
2022-12-28,577619
2022-12-29,578020
2022-12-30,578426
2022-12-31,578860
2023-01-01,579230
2023-01-02,579609
2023-01-03,579992
2023-01-04,580364
2023-01-05,580783
2023-01-06,581187
2023-01-07,581607
2023-01-08,582034
2023-01-09,582523
2023-01-10,582923
2023-01-11,583333
2023-01-12,583751
2023-01-13,584126
2023-01-14,584615
2023-01-15,585131
2023-01-16,585554
2023-01-17,585913
2023-01-18,586262
2023-01-19,586633
2023-01-20,587107
2023-01-21,587532
2023-01-22,588001
2023-01-23,588390
2023-01-24,588780
2023-01-25,589193
2023-01-26,589553
2023-01-27,589912
2023-01-28,590316
2023-01-29,590776
2023-01-30,591172
2023-01-31,591544
2023-02-01,591913
2023-02-02,592250
2023-02-03,592628
2023-02-04,593068
2023-02-05,593521
2023-02-06,593897
2023-02-07,594271
2023-02-08,594623
2023-02-09,594962
2023-02-10,595367
2023-02-11,595769
2023-02-12,596281
2023-02-13,596646
2023-02-14,597022
2023-02-15,597463
2023-02-16,597795
2023-02-17,598115
2023-02-18,598546
2023-02-19,598993
2023-02-20,599350
2023-02-21,599707
2023-02-22,600110
2023-02-23,600541
2023-02-24,600922
2023-02-25,601348
2023-02-26,601777
2023-02-27,602127
2023-02-28,602434
2023-03-01,602793
2023-03-02,603110
2023-03-03,603453
2023-03-04,603858
2023-03-05,604237
2023-03-06,604578
2023-03-07,604892
2023-03-08,605255
2023-03-09,605583
2023-03-10,605919
2023-03-11,606253
2023-03-12,606596
2023-03-13,606894
2023-03-14,607267
2023-03-15,607619
2023-03-16,607952
