date,count
2022-12-06,294624
2022-12-07,360791
2022-12-08,409939
2022-12-09,448052
2022-12-10,483416
2022-12-11,513064
2022-12-12,540276
2022-12-13,566322
2022-12-14,588976
2022-12-15,612651
2022-12-16,635967
2022-12-17,662213
2022-12-18,686452
2022-12-19,707575
2022-12-20,732661
2022-12-21,755446
2022-12-22,778982
2022-12-23,804284
2022-12-24,826832
2022-12-25,848341
2022-12-26,872697
2022-12-27,897474
2022-12-28,920445
2022-12-29,944019
2022-12-30,966468
2022-12-31,988181
2023-01-01,1004203
2023-01-02,1021231
2023-01-03,1039953
2023-01-04,1058726
2023-01-05,1077055
2023-01-06,1095472
2023-01-07,1112007
2023-01-08,1127208
2023-01-09,1145845
2023-01-10,1156325
2023-01-11,1177122
2023-01-12,1194046
2023-01-13,1210609
2023-01-14,1230659
2023-01-15,1249598
2023-01-16,1264994
2023-01-17,1279846
2023-01-18,1293555
2023-01-19,1307687
2023-01-20,1323461
2023-01-21,1340948
2023-01-22,1357166
2023-01-23,1370918
2023-01-24,1385101
2023-01-25,1399293
2023-01-26,1412955
2023-01-27,1427101
2023-01-28,1442847
2023-01-29,1457532
2023-01-30,1470643
2023-01-31,1483142
2023-02-01,1495607
2023-02-02,1508322
2023-02-03,1520524
2023-02-04,1534271
2023-02-05,1547990
2023-02-06,1559768
2023-02-07,1571507
2023-02-08,1583397
2023-02-09,1595190
2023-02-10,1608419
2023-02-11,1620835
2023-02-12,1634160
2023-02-13,1645884
2023-02-14,1657800
2023-02-15,1670401
2023-02-16,1681157
2023-02-17,1692270
2023-02-18,1706121
2023-02-19,1720313
2023-02-20,1731474
2023-02-21,1742919
2023-02-22,1754371
2023-02-23,1766791
2023-02-24,1777474
2023-02-25,1788816
2023-02-26,1799103
2023-02-27,1809079
2023-02-28,1818466
2023-03-01,1827383
2023-03-02,1835498
2023-03-03,1844235
2023-03-04,1853236
2023-03-05,1862944
2023-03-06,1871747
2023-03-07,1880322
2023-03-08,1888347
2023-03-09,1895913
2023-03-10,1903906
2023-03-11,1912271
2023-03-12,1920537
2023-03-13,1928698
2023-03-14,1936541
2023-03-15,1944470
2023-03-16,1952857
2023-03-17,1961432
2023-03-18,1970300
2023-03-19,1978884
2023-03-20,1987688
2023-03-21,1996510
2023-03-22,2004790
2023-03-23,2013742
2023-03-24,2024359
2023-03-25,2034400
2023-03-26,2044419
2023-03-27,2054727
2023-03-28,2064002
2023-03-29,2075888
2023-03-30,2087074
2023-03-31,2098646
2023-04-01,2109452
2023-04-02,2120187
2023-04-03,2132892
2023-04-04,2144773
2023-04-05,2156788
2023-04-06,2169270
2023-04-07,2181316
2023-04-08,2193481
2023-04-09,2205616
2023-04-10,2216238
2023-04-11,2226516
2023-04-12,2237078
2023-04-13,2247199
2023-04-14,2257296
