date,count
2022-10-05,0
2022-10-06,230154
2022-10-07,384589
2022-10-08,474454
2022-10-09,544825
2022-10-10,608599
2022-10-11,659768
2022-10-12,706352
2022-10-13,754143
2022-10-14,798558
2022-10-15,847140
2022-10-16,893912
2022-10-17,934831
2022-10-18,972780
2022-10-19,1010971
2022-10-20,1049047
2022-10-21,1083983
2022-10-22,1123651
2022-10-23,1161533
2022-10-24,1195086
2022-10-25,1226273
2022-10-26,1256861
2022-10-27,1286723
2022-10-28,1317720
2022-10-29,1351896
2022-10-30,1386877
2022-10-31,1416506
2022-11-01,1442882
2022-11-02,1470194
2022-11-03,1501274
2022-11-04,1526578
2022-11-05,1554671
2022-11-06,1579684
2022-11-07,1604660
2022-11-08,1628500
2022-11-09,1654087
2022-11-10,1678163
2022-11-11,1702068
2022-11-12,1732465
2022-11-13,1761135
2022-11-14,1787031
2022-11-15,1811879
2022-11-16,1836483
2022-11-17,1859936
2022-11-18,1882518
