date,count
2022-12-01,895558
2022-12-02,1004147
2022-12-03,1117183
2022-12-04,1220997
2022-12-05,1305254
2022-12-06,1387496
2022-12-07,1463711
2022-12-08,1537951
2022-12-09,1604967
2022-12-10,1679736
2022-12-11,1745772
2022-12-12,1805263
2022-12-13,1862618
2022-12-14,1918540
2022-12-15,1973116
2022-12-16,2029024
2022-12-17,2092723
2022-12-18,2146382
2022-12-19,2193550
2022-12-20,2245423
2022-12-21,2294882
2022-12-22,2344614
2022-12-23,2396816
2022-12-24,2445161
2022-12-25,2490543
2022-12-26,2540995
2022-12-27,2589247
2022-12-28,2634556
2022-12-29,2677677
2022-12-30,2717226
2022-12-31,2755438
2023-01-01,2785650
2023-01-02,2818625
2023-01-03,2855289
2023-01-04,2891859
2023-01-05,2929154
2023-01-06,2964845
2023-01-07,3001727
2023-01-08,3037974
2023-01-09,3081523
2023-01-10,3106862
2023-01-11,3156693
2023-01-12,3196611
2023-01-13,3233093
2023-01-14,3271796
2023-01-15,3308655
2023-01-16,3340328
2023-01-17,3370693
2023-01-18,3398499
2023-01-19,3426610
2023-01-20,3455791
2023-01-21,3486069
2023-01-22,3516140
2023-01-23,3542528
2023-01-24,3570758
2023-01-25,3599508
2023-01-26,3625844
2023-01-27,3651824
2023-01-28,3680418
