date,count
2022-08-24,1828365
2022-08-25,1829667
2022-08-26,1830905
2022-08-27,1832213
2022-08-28,1833419
2022-08-29,1834496
2022-08-30,1835607
2022-08-31,1836781
2022-09-01,1837863
2022-09-02,1838729
2022-09-03,1840226
2022-09-04,1841547
2022-09-05,1842658
2022-09-06,1843687
2022-09-07,1844689
2022-09-08,1845749
2022-09-09,1846765
2022-09-10,1847985
2022-09-11,1849222
2022-09-12,1850186
2022-09-13,1851086
2022-09-14,1851998
2022-09-15,1852964
2022-09-16,1853945
2022-09-17,1855068
2022-09-18,1856311
2022-09-19,1857495
2022-09-20,1858393
2022-09-21,1859362
2022-09-22,1860292
2022-09-23,1861483
2022-09-24,1862677
2022-09-25,1863866
2022-09-26,1864902
2022-09-27,1865892
2022-09-28,1866859
2022-09-29,1867883
2022-09-30,1868698
2022-10-01,1869853
2022-10-02,1871151
2022-10-03,1872141
2022-10-04,1873215
2022-10-05,1874313
2022-10-06,1875405
2022-10-07,1876515
2022-10-08,1877727
2022-10-09,1878872
2022-10-10,1880118
2022-10-11,1881065
2022-10-12,1882046
2022-10-13,1883060
2022-10-14,1884027
2022-10-15,1885067
2022-10-16,1886244
2022-10-17,1887176
2022-10-18,1888056
2022-10-19,1888926
2022-10-20,1889850
2022-10-21,1890718
2022-10-22,1891750
2022-10-23,1892835
2022-10-24,1893756
2022-10-25,1894601
2022-10-26,1895404
2022-10-27,1896185
2022-10-28,1897090
2022-10-29,1898149
2022-10-30,1899141
2022-10-31,1899893
2022-11-01,1900645
2022-11-02,1901354
2022-11-03,1902310
2022-11-04,1903008
2022-11-05,1904017
2022-11-06,1904921
2022-11-07,1905727
2022-11-08,1906537
2022-11-09,1907298
2022-11-10,1908101
2022-11-11,1908929
2022-11-12,1910069
2022-11-13,1911096
2022-11-14,1911985
2022-11-15,1912846
2022-11-16,1913643
2022-11-17,1914530
2022-11-18,1915278
2022-11-19,1916268
2022-11-20,1917207
2022-11-21,1917963
2022-11-22,1918780
2022-11-23,1919820
2022-11-24,1920648
2022-11-25,1921418
2022-11-26,1922433
2022-11-27,1923455
2022-11-28,1924199
2022-11-29,1924936
2022-11-30,1925721
2022-12-01,1926419
2022-12-02,1927127
2022-12-03,1928049
2022-12-04,1928951
2022-12-05,1929623
2022-12-06,1930351
2022-12-07,1931080
2022-12-08,1931804
2022-12-09,1932533
2022-12-10,1933379
2022-12-11,1934212
2022-12-12,1934907
2022-12-13,1935623
2022-12-14,1936335
2022-12-15,1937088
2022-12-16,1937735
2022-12-17,1938621
2022-12-18,1939411
2022-12-19,1940025
2022-12-20,1940715
2022-12-21,1941418
2022-12-22,1942095
2022-12-23,1942840
2022-12-24,1943578
2022-12-25,1944437
2022-12-26,1945259
2022-12-27,1946038
2022-12-28,1946845
2022-12-29,1947676
2022-12-30,1948435
2022-12-31,1949221
2023-01-01,1949826
2023-01-02,1950510
2023-01-03,1951185
2023-01-04,1951904
2023-01-05,1952631
2023-01-06,1953344
2023-01-07,1954074
2023-01-08,1954824
2023-01-09,1955703
2023-01-10,1956322
2023-01-11,1957036
2023-01-12,1957760
2023-01-13,1958428
2023-01-14,1959324
2023-01-15,1960221
2023-01-16,1960937
2023-01-17,1961650
2023-01-18,1962186
2023-01-19,1962786
2023-01-20,1963413
2023-01-21,1964171
2023-01-22,1964966
2023-01-23,1965603
2023-01-24,1966257
2023-01-25,1966936
2023-01-26,1967596
2023-01-27,1968190
2023-01-28,1969019
2023-01-29,1969804
2023-01-30,1970472
2023-01-31,1971189
2023-02-01,1971808
2023-02-02,1972427
2023-02-03,1973078
2023-02-04,1973872
2023-02-05,1974707
2023-02-06,1975388
2023-02-07,1976091
2023-02-08,1976759
2023-02-09,1977417
2023-02-10,1978088
2023-02-11,1978775
2023-02-12,1979613
2023-02-13,1980294
2023-02-14,1980999
2023-02-15,1981754
2023-02-16,1982355
2023-02-17,1982971
2023-02-18,1983784
2023-02-19,1984577
2023-02-20,1985372
2023-02-21,1986149
2023-02-22,1986915
2023-02-23,1987869
2023-02-24,1988641
2023-02-25,1989549
2023-02-26,1990503
2023-02-27,1991264
2023-02-28,1992018
2023-03-01,1992766
2023-03-02,1993516
2023-03-03,1994340
2023-03-04,1995332
2023-03-05,1996394
2023-03-06,1997241
2023-03-07,1998087
2023-03-08,1998944
2023-03-09,1999854
2023-03-10,2000745
2023-03-11,2001720
2023-03-12,2002607
2023-03-13,2003471
2023-03-14,2004256
2023-03-15,2005103
2023-03-16,2005981
2023-03-17,2006810
2023-03-18,2007673
2023-03-19,2008532
2023-03-20,2009340
2023-03-21,2010198
2023-03-22,2011149
2023-03-23,2012080
2023-03-24,2013154
2023-03-25,2014158
2023-03-26,2015279
2023-03-27,2016324
2023-03-28,2017438
2023-03-29,2018756
2023-03-30,2020010
2023-03-31,2021279
2023-04-01,2022382
2023-04-02,2023484
2023-04-03,2024618
2023-04-04,2025879
2023-04-05,2027116
2023-04-06,2028542
2023-04-07,2030613
2023-04-08,2032048
2023-04-09,2033243
2023-04-10,2034158
2023-04-11,2034921
2023-04-12,2035652
2023-04-13,2036272
2023-04-14,2036885
2023-04-15,2037594
2023-04-16,2038350
2023-04-17,2038905
