date,count
2022-08-28,393183
2022-08-29,465503
2022-08-30,536580
2022-08-31,585946
2022-09-01,627234
2022-09-02,665119
2022-09-03,711118
2022-09-04,749508
2022-09-05,779365
2022-09-06,806235
2022-09-07,830060
2022-09-08,853596
2022-09-09,874598
2022-09-10,896867
2022-09-11,918562
2022-09-12,936866
2022-09-13,953519
2022-09-14,969287
2022-09-15,985530
2022-09-16,1000793
2022-09-17,1018013
2022-09-18,1035280
2022-09-19,1052275
2022-09-20,1067357
2022-09-21,1082147
2022-09-22,1097518
2022-09-23,1115099
2022-09-24,1131517
2022-09-25,1148413
2022-09-26,1162484
2022-09-27,1176703
2022-09-28,1190622
2022-09-29,1208182
2022-09-30,1222423
2022-10-01,1240298
2022-10-02,1260412
2022-10-03,1276283
2022-10-04,1292526
2022-10-05,1307969
2022-10-06,1321850
