date,count
2023-04-02,647304
2023-04-03,811627
2023-04-04,943912
2023-04-05,1053514
2023-04-06,1148221
2023-04-07,1233671
2023-04-08,1304020
2023-04-09,1368376
2023-04-10,1419159
2023-04-11,1466517
2023-04-12,1509434
2023-04-13,1551939
2023-04-14,1593384
2023-04-15,1640076
2023-04-16,1685000
2023-04-17,1719806
2023-04-18,1750380
2023-04-19,1782390
2023-04-20,1812449
2023-04-21,1841646
2023-04-22,1875758
2023-04-23,1911239
2023-04-24,1938153
2023-04-25,1963176
2023-04-26,1989208
2023-04-27,2014019
2023-04-28,2039870
2023-04-29,2073315
2023-04-30,2106399
2023-05-01,2131479
2023-05-02,2155446
2023-05-03,2181030
2023-05-04,2204718
2023-05-05,2225778
2023-05-06,2246425
2023-05-07,2267583
2023-05-08,2285159
2023-05-09,2301895
2023-05-10,2319676
2023-05-11,2336512
2023-05-12,2354759
