date,count
2022-09-29,0
2022-09-30,605852
2022-10-01,990641
2022-10-02,1262547
2022-10-03,1428637
2022-10-04,1590288
2022-10-05,1724870
2022-10-06,1856097
2022-10-07,1975638
2022-10-08,2097677
2022-10-09,2202405
2022-10-10,2313928
2022-10-11,2408312
2022-10-12,2498545
2022-10-13,2587559
2022-10-14,2667871
2022-10-15,2756880
2022-10-16,2842181
2022-10-17,2920501
2022-10-18,2992597
2022-10-19,3062777
2022-10-20,3131766
2022-10-21,3196153
2022-10-22,3268428
2022-10-23,3338770
2022-10-24,3401794
2022-10-25,3458885
2022-10-26,3518600
2022-10-27,3574036
2022-10-28,3630130
2022-10-29,3691730
2022-10-30,3757668
2022-10-31,3814921
2022-11-01,3865651
2022-11-02,3916313
2022-11-03,3976435
2022-11-04,4025375
2022-11-05,4078800
2022-11-06,4130024
2022-11-07,4180438
2022-11-08,4225376
2022-11-09,4267878
2022-11-10,4307552
2022-11-11,4346778
2022-11-12,4393686
2022-11-13,4439257
2022-11-14,4478017
2022-11-15,4513680
2022-11-16,4551097
2022-11-17,4586424
2022-11-18,4622452
2022-11-19,4662554
2022-11-20,4702585
2022-11-21,4735594
2022-11-22,4768651
2022-11-23,4807266
2022-11-24,4840064
2022-11-25,4873471
2022-11-26,4910023
2022-11-27,4947903
2022-11-28,4979444
2022-11-29,5012292
2022-11-30,5043931
2022-12-01,5072744
2022-12-02,5102280
2022-12-03,5137013
2022-12-04,5169640
2022-12-05,5196258
2022-12-06,5222974
2022-12-07,5248413
2022-12-08,5274275
2022-12-09,5299270
2022-12-10,5328576
2022-12-11,5355818
2022-12-12,5380797
2022-12-13,5404320
2022-12-14,5428051
