date,count
2022-08-24,4180372
2022-08-25,4184123
2022-08-26,4187753
2022-08-27,4191393
2022-08-28,4194829
2022-08-29,4198384
2022-08-30,4201822
2022-08-31,4205429
2022-09-01,4208371
2022-09-02,4211127
2022-09-03,4214917
2022-09-04,4218761
2022-09-05,4221864
2022-09-06,4225091
2022-09-07,4228164
2022-09-08,4230970
2022-09-09,4233763
2022-09-10,4237403
2022-09-11,4240834
2022-09-12,4243653
2022-09-13,4246271
2022-09-14,4248927
2022-09-15,4251769
2022-09-16,4254579
2022-09-17,4258184
2022-09-18,4261905
2022-09-19,4265221
2022-09-20,4268094
2022-09-21,4270794
2022-09-22,4273757
2022-09-23,4277148
2022-09-24,4280695
2022-09-25,4284184
2022-09-26,4286987
2022-09-27,4289905
2022-09-28,4292784
2022-09-29,4295933
2022-09-30,4298894
2022-10-01,4302624
2022-10-02,4306737
2022-10-03,4310300
2022-10-04,4313914
2022-10-05,4317354
2022-10-06,4321170
2022-10-07,4324872
2022-10-08,4329097
2022-10-09,4332751
2022-10-10,4336675
2022-10-11,4339911
2022-10-12,4343039
2022-10-13,4346174
2022-10-14,4349603
2022-10-15,4353757
2022-10-16,4357575
2022-10-17,4360850
2022-10-18,4363951
2022-10-19,4366956
2022-10-20,4370208
2022-10-21,4373293
2022-10-22,4377172
2022-10-23,4380881
2022-10-24,4383645
2022-10-25,4386353
2022-10-26,4388995
2022-10-27,4391400
2022-10-28,4394113
2022-10-29,4397092
2022-10-30,4400321
2022-10-31,4402849
2022-11-01,4405255
