date,count
2022-08-24,1291962
2022-08-25,1293589
2022-08-26,1295295
2022-08-27,1297013
2022-08-28,1298698
2022-08-29,1300253
2022-08-30,1301640
2022-08-31,1303011
2022-09-01,1304438
2022-09-02,1305768
2022-09-03,1307488
2022-09-04,1309073
2022-09-05,1310352
2022-09-06,1311710
2022-09-07,1313045
2022-09-08,1314467
2022-09-09,1315749
2022-09-10,1317129
2022-09-11,1318549
2022-09-12,1319776
2022-09-13,1320928
2022-09-14,1322205
2022-09-15,1323652
2022-09-16,1325051
2022-09-17,1326539
2022-09-18,1328131
2022-09-19,1329751
2022-09-20,1331167
2022-09-21,1332485
2022-09-22,1333750
2022-09-23,1335326
2022-09-24,1336898
2022-09-25,1338585
2022-09-26,1340157
2022-09-27,1342364
2022-09-28,1344232
2022-09-29,1346136
2022-09-30,1347623
2022-10-01,1349491
2022-10-02,1351572
2022-10-03,1353490
2022-10-04,1355514
2022-10-05,1357628
2022-10-06,1359576
2022-10-07,1361596
2022-10-08,1363812
2022-10-09,1365848
2022-10-10,1368320
2022-10-11,1370566
2022-10-12,1372708
2022-10-13,1374847
2022-10-14,1377038
2022-10-15,1379306
2022-10-16,1381807
2022-10-17,1383837
2022-10-18,1385831
2022-10-19,1387630
2022-10-20,1389346
2022-10-21,1390964
