date,count
2022-08-24,2070118
2022-08-25,2072220
2022-08-26,2074176
2022-08-27,2076131
2022-08-28,2078078
2022-08-29,2079956
2022-08-30,2081648
2022-08-31,2083437
2022-09-01,2085053
2022-09-02,2086674
2022-09-03,2088793
2022-09-04,2091028
2022-09-05,2092760
2022-09-06,2094509
2022-09-07,2096295
2022-09-08,2098051
2022-09-09,2099702
2022-09-10,2101674
2022-09-11,2103578
2022-09-12,2105147
2022-09-13,2106653
2022-09-14,2108123
2022-09-15,2109711
2022-09-16,2111338
2022-09-17,2113201
2022-09-18,2115187
2022-09-19,2116998
2022-09-20,2118500
2022-09-21,2120022
2022-09-22,2121651
2022-09-23,2123699
2022-09-24,2125703
2022-09-25,2127560
2022-09-26,2129167
2022-09-27,2130862
2022-09-28,2132503
2022-09-29,2134274
2022-09-30,2135644
2022-10-01,2137480
2022-10-02,2139484
2022-10-03,2141097
2022-10-04,2142793
2022-10-05,2144446
2022-10-06,2146233
2022-10-07,2148022
2022-10-08,2150193
2022-10-09,2152127
2022-10-10,2154182
2022-10-11,2155813
2022-10-12,2157381
2022-10-13,2158945
2022-10-14,2160692
2022-10-15,2162658
2022-10-16,2164561
2022-10-17,2166268
2022-10-18,2167770
2022-10-19,2169213
2022-10-20,2170813
2022-10-21,2172380
2022-10-22,2174260
2022-10-23,2176232
2022-10-24,2177803
2022-10-25,2179298
2022-10-26,2180748
2022-10-27,2182146
2022-10-28,2183722
2022-10-29,2185460
2022-10-30,2187235
2022-10-31,2188739
2022-11-01,2190229
2022-11-02,2191732
2022-11-03,2193473
2022-11-04,2194924
2022-11-05,2196678
2022-11-06,2198226
2022-11-07,2199671
2022-11-08,2200970
2022-11-09,2202334
2022-11-10,2203542
2022-11-11,2204825
2022-11-12,2206553
2022-11-13,2208311
2022-11-14,2209997
2022-11-15,2211581
2022-11-16,2213005
2022-11-17,2214513
2022-11-18,2215845
2022-11-19,2217358
2022-11-20,2218882
2022-11-21,2220141
2022-11-22,2221373
2022-11-23,2222883
2022-11-24,2224174
2022-11-25,2225453
2022-11-26,2226985
2022-11-27,2228647
2022-11-28,2229825
2022-11-29,2231014
2022-11-30,2232225
2022-12-01,2233432
2022-12-02,2234627
2022-12-03,2236055
2022-12-04,2237618
2022-12-05,2238734
2022-12-06,2239867
2022-12-07,2241104
2022-12-08,2242361
2022-12-09,2243625
2022-12-10,2245100
2022-12-11,2246470
2022-12-12,2247818
2022-12-13,2249043
2022-12-14,2250211
2022-12-15,2251409
2022-12-16,2252666
2022-12-17,2254206
2022-12-18,2255604
2022-12-19,2256819
2022-12-20,2258037
2022-12-21,2259251
2022-12-22,2260413
2022-12-23,2261662
2022-12-24,2262841
2022-12-25,2264136
2022-12-26,2265606
2022-12-27,2267024
2022-12-28,2268457
2022-12-29,2269775
2022-12-30,2270995
2022-12-31,2272266
2023-01-01,2273300
2023-01-02,2274453
2023-01-03,2275663
2023-01-04,2276861
2023-01-05,2278168
2023-01-06,2279447
2023-01-07,2280797
2023-01-08,2282096
2023-01-09,2283641
2023-01-10,2284924
2023-01-11,2286199
2023-01-12,2287588
2023-01-13,2288925
2023-01-14,2290611
2023-01-15,2292171
2023-01-16,2293357
2023-01-17,2294602
2023-01-18,2295861
2023-01-19,2297129
2023-01-20,2298605
2023-01-21,2300199
2023-01-22,2301705
2023-01-23,2302973
2023-01-24,2304269
2023-01-25,2305602
2023-01-26,2306838
2023-01-27,2308088
2023-01-28,2309505
2023-01-29,2310978
2023-01-30,2312245
2023-01-31,2313510
2023-02-01,2314727
2023-02-02,2315968
2023-02-03,2317259
2023-02-04,2318754
2023-02-05,2320354
2023-02-06,2321601
2023-02-07,2322919
2023-02-08,2324251
2023-02-09,2325502
2023-02-10,2326893
2023-02-11,2328396
2023-02-12,2330052
2023-02-13,2331369
2023-02-14,2332820
2023-02-15,2334257
2023-02-16,2335493
2023-02-17,2336728
2023-02-18,2338460
2023-02-19,2340160
2023-02-20,2341448
2023-02-21,2342763
2023-02-22,2344086
2023-02-23,2345475
2023-02-24,2346725
2023-02-25,2348189
2023-02-26,2349653
2023-02-27,2350865
2023-02-28,2352084
2023-03-01,2353366
2023-03-02,2354564
2023-03-03,2355809
2023-03-04,2357274
2023-03-05,2358663
2023-03-06,2359816
2023-03-07,2360969
2023-03-08,2362192
2023-03-09,2363277
2023-03-10,2364431
2023-03-11,2365847
2023-03-12,2367165
2023-03-13,2368396
2023-03-14,2369620
2023-03-15,2370915
2023-03-16,2372157
2023-03-17,2373394
2023-03-18,2374761
2023-03-19,2376003
2023-03-20,2377314
2023-03-21,2378566
2023-03-22,2379810
2023-03-23,2381013
2023-03-24,2382321
2023-03-25,2383631
2023-03-26,2384969
2023-03-27,2386289
2023-03-28,2387510
2023-03-29,2388866
2023-03-30,2390118
2023-03-31,2391443
2023-04-01,2392687
2023-04-02,2393934
2023-04-03,2395342
2023-04-04,2396750
2023-04-05,2398101
2023-04-06,2399418
2023-04-07,2400681
2023-04-08,2401904
2023-04-09,2403249
