date,count
2022-08-24,1155070
2022-08-25,1156713
2022-08-26,1158397
2022-08-27,1160031
2022-08-28,1161804
2022-08-29,1163369
2022-08-30,1164903
2022-08-31,1166510
2022-09-01,1167936
2022-09-02,1169237
2022-09-03,1171074
2022-09-04,1172817
2022-09-05,1174254
2022-09-06,1175714
2022-09-07,1177071
2022-09-08,1178603
2022-09-09,1179939
2022-09-10,1181477
2022-09-11,1183088
2022-09-12,1184465
2022-09-13,1185741
2022-09-14,1187011
2022-09-15,1188520
2022-09-16,1189984
2022-09-17,1191630
2022-09-18,1193327
2022-09-19,1194984
2022-09-20,1196310
2022-09-21,1197687
2022-09-22,1199094
2022-09-23,1200810
2022-09-24,1202504
2022-09-25,1204348
2022-09-26,1206102
2022-09-27,1207854
2022-09-28,1209558
2022-09-29,1211262
2022-09-30,1212691
2022-10-01,1214519
2022-10-02,1216575
2022-10-03,1218267
2022-10-04,1220049
2022-10-05,1221810
2022-10-06,1223533
2022-10-07,1225207
2022-10-08,1227017
2022-10-09,1228775
2022-10-10,1230800
2022-10-11,1232489
2022-10-12,1234042
2022-10-13,1235624
2022-10-14,1237250
2022-10-15,1239047
2022-10-16,1241045
2022-10-17,1242696
2022-10-18,1244425
2022-10-19,1246029
2022-10-20,1247579
2022-10-21,1248944
2022-10-22,1250635
2022-10-23,1252483
2022-10-24,1253949
2022-10-25,1255336
2022-10-26,1256620
2022-10-27,1257947
2022-10-28,1259359
2022-10-29,1260901
2022-10-30,1262593
2022-10-31,1264004
2022-11-01,1265341
2022-11-02,1266643
2022-11-03,1268259
2022-11-04,1269613
2022-11-05,1271111
2022-11-06,1272589
2022-11-07,1274114
2022-11-08,1275382
2022-11-09,1276783
2022-11-10,1278135
2022-11-11,1279513
2022-11-12,1281193
2022-11-13,1282968
2022-11-14,1284403
2022-11-15,1285849
2022-11-16,1287251
2022-11-17,1288695
2022-11-18,1290141
2022-11-19,1291547
2022-11-20,1292978
2022-11-21,1294266
2022-11-22,1295500
2022-11-23,1296978
2022-11-24,1298285
2022-11-25,1299597
2022-11-26,1300985
2022-11-27,1302518
2022-11-28,1303762
2022-11-29,1305048
2022-11-30,1306289
2022-12-01,1307546
2022-12-02,1308808
2022-12-03,1310294
2022-12-04,1311948
2022-12-05,1313255
2022-12-06,1314531
2022-12-07,1315830
2022-12-08,1317187
2022-12-09,1318457
2022-12-10,1320000
2022-12-11,1321414
2022-12-12,1322760
2022-12-13,1324032
2022-12-14,1325314
2022-12-15,1326608
2022-12-16,1327740
2022-12-17,1328973
2022-12-18,1330246
2022-12-19,1331350
2022-12-20,1332481
2022-12-21,1333639
2022-12-22,1334712
2022-12-23,1335916
2022-12-24,1337089
2022-12-25,1338268
2022-12-26,1339547
2022-12-27,1340885
2022-12-28,1342292
2022-12-29,1343698
2022-12-30,1344905
2022-12-31,1346105
2023-01-01,1346980
2023-01-02,1348146
2023-01-03,1349301
2023-01-04,1350433
2023-01-05,1351587
2023-01-06,1352765
2023-01-07,1354016
2023-01-08,1355197
2023-01-09,1356600
2023-01-10,1357704
2023-01-11,1358874
2023-01-12,1360041
2023-01-13,1361178
2023-01-14,1362591
2023-01-15,1364019
2023-01-16,1365245
2023-01-17,1366473
2023-01-18,1367617
2023-01-19,1368694
2023-01-20,1369846
2023-01-21,1371160
2023-01-22,1372448
2023-01-23,1373739
2023-01-24,1374969
2023-01-25,1376240
2023-01-26,1377407
2023-01-27,1378584
2023-01-28,1379944
2023-01-29,1381285
2023-01-30,1382535
2023-01-31,1383772
2023-02-01,1384976
2023-02-02,1386161
2023-02-03,1387468
2023-02-04,1388865
2023-02-05,1390312
2023-02-06,1391551
2023-02-07,1392694
2023-02-08,1393899
2023-02-09,1394934
2023-02-10,1396303
2023-02-11,1397721
2023-02-12,1399183
2023-02-13,1400381
2023-02-14,1401567
2023-02-15,1402869
2023-02-16,1403908
2023-02-17,1405055
2023-02-18,1406365
2023-02-19,1407654
2023-02-20,1408825
2023-02-21,1409967
2023-02-22,1411022
2023-02-23,1412235
2023-02-24,1413344
2023-02-25,1414633
2023-02-26,1415783
2023-02-27,1416887
2023-02-28,1417880
2023-03-01,1418938
2023-03-02,1419987
2023-03-03,1421117
2023-03-04,1422270
2023-03-05,1423501
2023-03-06,1424561
2023-03-07,1425636
2023-03-08,1426683
2023-03-09,1427692
2023-03-10,1428770
2023-03-11,1429852
2023-03-12,1431109
2023-03-13,1432218
2023-03-14,1433194
2023-03-15,1434257
2023-03-16,1435250
2023-03-17,1436300
2023-03-18,1437425
2023-03-19,1438597
2023-03-20,1439665
2023-03-21,1440770
2023-03-22,1441801
2023-03-23,1442923
2023-03-24,1444062
2023-03-25,1445091
2023-03-26,1446165
2023-03-27,1447261
2023-03-28,1448307
2023-03-29,1449371
2023-03-30,1450451
2023-03-31,1451489
2023-04-01,1452451
2023-04-02,1453494
2023-04-03,1454698
2023-04-04,1455916
2023-04-05,1457136
2023-04-06,1458358
2023-04-07,1459481
2023-04-08,1460741
2023-04-09,1461995
2023-04-10,1463006
2023-04-11,1464058
2023-04-12,1465088
2023-04-13,1466029
2023-04-14,1467038
2023-04-15,1468202
2023-04-16,1469378
