date,count
2022-08-24,1183885
2022-08-25,1184918
2022-08-26,1186025
2022-08-27,1187086
2022-08-28,1188191
2022-08-29,1189140
2022-08-30,1190021
2022-08-31,1190920
2022-09-01,1191732
2022-09-02,1192435
2022-09-03,1193487
2022-09-04,1194486
2022-09-05,1195314
2022-09-06,1196095
2022-09-07,1196874
2022-09-08,1197671
2022-09-09,1198408
2022-09-10,1199317
2022-09-11,1200216
2022-09-12,1200943
2022-09-13,1201677
2022-09-14,1202365
2022-09-15,1203149
2022-09-16,1203859
2022-09-17,1204846
2022-09-18,1205877
2022-09-19,1206791
2022-09-20,1207536
2022-09-21,1208359
2022-09-22,1209230
2022-09-23,1210121
2022-09-24,1211116
2022-09-25,1212100
2022-09-26,1212962
