date,count
2022-08-24,471828
2022-08-25,472354
2022-08-26,472868
2022-08-27,473425
2022-08-28,473958
2022-08-29,474427
2022-08-30,474847
2022-08-31,475258
2022-09-01,475682
2022-09-02,476053
2022-09-03,476587
2022-09-04,477123
2022-09-05,477519
2022-09-06,477947
2022-09-07,478327
2022-09-08,478741
2022-09-09,479095
2022-09-10,479570
2022-09-11,480096
2022-09-12,480512
2022-09-13,480875
2022-09-14,481201
2022-09-15,481573
2022-09-16,481960
2022-09-17,482395
2022-09-18,482864
2022-09-19,483365
2022-09-20,483726
2022-09-21,484091
2022-09-22,484519
2022-09-23,484958
2022-09-24,485405
2022-09-25,485876
2022-09-26,486247
2022-09-27,486652
2022-09-28,487057
2022-09-29,487473
2022-09-30,487790
2022-10-01,488310
2022-10-02,488898
2022-10-03,489356
2022-10-04,489863
2022-10-05,490308
2022-10-06,490795
2022-10-07,491323
2022-10-08,491879
2022-10-09,492451
2022-10-10,493047
2022-10-11,493510
