date,count
2022-08-24,2975406
2022-08-25,2980656
2022-08-26,2985775
2022-08-27,2990851
2022-08-28,2996008
2022-08-29,3001028
2022-08-30,3005756
2022-08-31,3011051
2022-09-01,3015114
2022-09-02,3019135
2022-09-03,3024454
2022-09-04,3029514
2022-09-05,3033813
2022-09-06,3038101
2022-09-07,3042312
2022-09-08,3046519
2022-09-09,3050462
2022-09-10,3055418
2022-09-11,3060239
2022-09-12,3064257
2022-09-13,3067987
2022-09-14,3072056
2022-09-15,3076492
2022-09-16,3080509
2022-09-17,3085214
2022-09-18,3090139
2022-09-19,3095094
2022-09-20,3099340
2022-09-21,3103329
2022-09-22,3107316
2022-09-23,3111999
2022-09-24,3116754
2022-09-25,3121891
2022-09-26,3126254
2022-09-27,3130595
2022-09-28,3135064
2022-09-29,3139581
2022-09-30,3143273
2022-10-01,3148261
2022-10-02,3153766
2022-10-03,3158300
2022-10-04,3162925
2022-10-05,3167635
2022-10-06,3172356
2022-10-07,3177040
2022-10-08,3182351
2022-10-09,3187204
2022-10-10,3192351
2022-10-11,3196906
2022-10-12,3201231
2022-10-13,3205620
2022-10-14,3209853
2022-10-15,3214894
2022-10-16,3220186
2022-10-17,3224905
2022-10-18,3229223
2022-10-19,3233138
2022-10-20,3237017
2022-10-21,3240771
2022-10-22,3245300
2022-10-23,3249747
2022-10-24,3253480
2022-10-25,3256963
2022-10-26,3260462
2022-10-27,3263729
2022-10-28,3267243
2022-10-29,3271253
2022-10-30,3275707
2022-10-31,3279458
2022-11-01,3283154
2022-11-02,3286797
2022-11-03,3291062
2022-11-04,3294216
2022-11-05,3297815
2022-11-06,3301503
2022-11-07,3305069
2022-11-08,3308369
2022-11-09,3311944
2022-11-10,3315556
2022-11-11,3319063
2022-11-12,3323299
2022-11-13,3327771
2022-11-14,3331466
2022-11-15,3335042
2022-11-16,3338428
2022-11-17,3341728
2022-11-18,3345122
2022-11-19,3348791
2022-11-20,3352594
2022-11-21,3356025
2022-11-22,3359182
2022-11-23,3363086
2022-11-24,3366454
2022-11-25,3369655
2022-11-26,3373468
2022-11-27,3377418
2022-11-28,3380668
2022-11-29,3384049
2022-11-30,3387506
2022-12-01,3390880
2022-12-02,3393999
2022-12-03,3397751
2022-12-04,3401793
2022-12-05,3404851
2022-12-06,3408094
2022-12-07,3411483
2022-12-08,3414838
2022-12-09,3417950
2022-12-10,3421531
2022-12-11,3425155
2022-12-12,3428564
2022-12-13,3431498
2022-12-14,3434367
2022-12-15,3437147
2022-12-16,3439888
2022-12-17,3443104
2022-12-18,3446415
2022-12-19,3449239
2022-12-20,3452174
2022-12-21,3455119
2022-12-22,3458122
2022-12-23,3461064
2022-12-24,3463894
2022-12-25,3466888
2022-12-26,3470285
2022-12-27,3473563
2022-12-28,3477092
2022-12-29,3480525
2022-12-30,3483723
2022-12-31,3486979
2023-01-01,3489646
2023-01-02,3492771
2023-01-03,3495674
2023-01-04,3498907
2023-01-05,3502229
2023-01-06,3505570
