date,count
2022-08-24,1731232
2022-08-25,1733245
2022-08-26,1735221
2022-08-27,1737340
2022-08-28,1739411
2022-08-29,1741341
2022-08-30,1743179
2022-08-31,1745190
2022-09-01,1746948
2022-09-02,1748475
2022-09-03,1750572
2022-09-04,1752621
2022-09-05,1754519
2022-09-06,1756373
2022-09-07,1758145
2022-09-08,1759894
2022-09-09,1761403
2022-09-10,1763281
2022-09-11,1765195
2022-09-12,1766893
2022-09-13,1768461
2022-09-14,1770083
2022-09-15,1771720
2022-09-16,1773310
2022-09-17,1775154
2022-09-18,1777120
2022-09-19,1779051
