date,count
2022-08-24,645850
2022-08-25,649224
2022-08-26,652020
2022-08-27,654773
2022-08-28,657229
2022-08-29,659740
2022-08-30,662388
2022-08-31,665061
2022-09-01,667562
2022-09-02,669685
2022-09-03,672551
2022-09-04,675117
2022-09-05,677142
2022-09-06,679102
2022-09-07,681056
2022-09-08,683083
2022-09-09,684859
2022-09-10,687090
2022-09-11,689378
2022-09-12,691155
2022-09-13,692841
2022-09-14,694443
2022-09-15,696072
2022-09-16,697525
2022-09-17,699524
2022-09-18,701492
2022-09-19,703350
2022-09-20,704904
2022-09-21,706462
2022-09-22,708058
2022-09-23,710051
2022-09-24,711986
2022-09-25,713815
2022-09-26,715319
2022-09-27,716851
2022-09-28,718365
2022-09-29,719971
2022-09-30,721284
2022-10-01,722996
2022-10-02,724875
2022-10-03,726334
2022-10-04,727980
2022-10-05,729551
2022-10-06,731367
2022-10-07,733320
2022-10-08,735414
2022-10-09,737448
2022-10-10,739613
2022-10-11,741380
2022-10-12,743164
2022-10-13,744743
2022-10-14,746344
2022-10-15,748370
2022-10-16,750324
2022-10-17,752038
2022-10-18,753725
2022-10-19,755440
2022-10-20,757200
2022-10-21,758779
2022-10-22,760947
2022-10-23,762975
2022-10-24,764808
2022-10-25,766506
2022-10-26,768061
2022-10-27,769674
2022-10-28,771394
2022-10-29,773297
2022-10-30,775408
2022-10-31,777050
2022-11-01,778573
2022-11-02,780129
2022-11-03,781978
2022-11-04,783541
2022-11-05,785268
2022-11-06,786953
2022-11-07,788475
2022-11-08,789819
2022-11-09,791277
2022-11-10,792766
2022-11-11,794151
2022-11-12,796156
2022-11-13,798235
2022-11-14,799987
2022-11-15,801663
2022-11-16,803434
2022-11-17,805162
2022-11-18,806818
2022-11-19,808738
2022-11-20,810520
2022-11-21,811964
