date,count
2022-08-24,997161
2022-08-25,998112
2022-08-26,999176
2022-08-27,1000289
2022-08-28,1001415
2022-08-29,1002460
2022-08-30,1003444
2022-08-31,1004478
2022-09-01,1005376
2022-09-02,1006265
2022-09-03,1007348
2022-09-04,1008367
2022-09-05,1009249
2022-09-06,1010134
2022-09-07,1011090
2022-09-08,1011909
2022-09-09,1012683
2022-09-10,1013500
2022-09-11,1014380
2022-09-12,1015204
2022-09-13,1016045
2022-09-14,1016906
2022-09-15,1017843
2022-09-16,1018740
2022-09-17,1019721
2022-09-18,1020734
2022-09-19,1021701
2022-09-20,1022558
2022-09-21,1023406
2022-09-22,1024301
2022-09-23,1025366
2022-09-24,1026385
2022-09-25,1027441
2022-09-26,1028477
2022-09-27,1029503
2022-09-28,1030635
2022-09-29,1031763
2022-09-30,1032721
2022-10-01,1033810
2022-10-02,1035233
