date,count
2022-08-24,1524042
2022-08-25,1535981
2022-08-26,1547377
2022-08-27,1559457
2022-08-28,1572165
2022-08-29,1583865
2022-08-30,1594860
2022-08-31,1605894
2022-09-01,1615833
2022-09-02,1625113
2022-09-03,1636729
2022-09-04,1648347
2022-09-05,1658539
2022-09-06,1668979
2022-09-07,1678721
2022-09-08,1688189
2022-09-09,1696976
2022-09-10,1707102
2022-09-11,1717603
2022-09-12,1726631
2022-09-13,1734740
2022-09-14,1743050
2022-09-15,1751909
2022-09-16,1760624
2022-09-17,1770366
2022-09-18,1780427
2022-09-19,1790347
2022-09-20,1799311
2022-09-21,1808075
2022-09-22,1817467
2022-09-23,1828217
2022-09-24,1838525
2022-09-25,1849121
2022-09-26,1858332
2022-09-27,1867548
2022-09-28,1876705
2022-09-29,1887921
2022-09-30,1896999
2022-10-01,1907465
2022-10-02,1919166
2022-10-03,1929203
2022-10-04,1939831
2022-10-05,1949694
2022-10-06,1959701
2022-10-07,1969382
2022-10-08,1980138
2022-10-09,1990639
2022-10-10,2001986
2022-10-11,2011401
2022-10-12,2020336
2022-10-13,2029587
2022-10-14,2038460
2022-10-15,2048283
2022-10-16,2059000
2022-10-17,2068365
2022-10-18,2077529
2022-10-19,2085887
2022-10-20,2093906
2022-10-21,2101940
2022-10-22,2110841
2022-10-23,2120137
2022-10-24,2127781
2022-10-25,2134743
2022-10-26,2141996
2022-10-27,2149432
2022-10-28,2157436
2022-10-29,2166558
2022-10-30,2175937
2022-10-31,2183927
2022-11-01,2191001
2022-11-02,2198855
2022-11-03,2208017
2022-11-04,2215187
2022-11-05,2222459
2022-11-06,2230447
2022-11-07,2238583
2022-11-08,2245585
2022-11-09,2252844
2022-11-10,2259722
2022-11-11,2266466
2022-11-12,2275530
2022-11-13,2285046
2022-11-14,2293210
2022-11-15,2301067
2022-11-16,2308506
2022-11-17,2316267
2022-11-18,2323312
2022-11-19,2331172
2022-11-20,2339074
2022-11-21,2346210
2022-11-22,2353156
2022-11-23,2361005
2022-11-24,2368331
2022-11-25,2375210
2022-11-26,2383051
2022-11-27,2390705
2022-11-28,2396758
2022-11-29,2403164
2022-11-30,2409700
2022-12-01,2415692
2022-12-02,2421442
2022-12-03,2428193
2022-12-04,2434924
2022-12-05,2440298
2022-12-06,2445985
2022-12-07,2451681
2022-12-08,2457250
2022-12-09,2462991
2022-12-10,2469176
2022-12-11,2475216
2022-12-12,2480820
2022-12-13,2486230
2022-12-14,2491856
2022-12-15,2497397
2022-12-16,2502629
2022-12-17,2508318
2022-12-18,2513637
2022-12-19,2518224
2022-12-20,2522997
2022-12-21,2528105
2022-12-22,2533219
2022-12-23,2539105
2022-12-24,2544952
2022-12-25,2550284
2022-12-26,2556448
2022-12-27,2562919
2022-12-28,2569604
2022-12-29,2575925
2022-12-30,2581763
2022-12-31,2587514
2023-01-01,2591972
2023-01-02,2596792
2023-01-03,2602043
2023-01-04,2607413
2023-01-05,2613058
2023-01-06,2618695
2023-01-07,2624206
2023-01-08,2629194
2023-01-09,2635410
2023-01-10,2638875
2023-01-11,2645074
2023-01-12,2650665
2023-01-13,2655813
2023-01-14,2661488
2023-01-15,2667011
2023-01-16,2671776
2023-01-17,2676450
2023-01-18,2682786
2023-01-19,2689838
2023-01-20,2696128
2023-01-21,2703132
2023-01-22,2709467
2023-01-23,2715050
2023-01-24,2720429
2023-01-25,2726278
2023-01-26,2731771
2023-01-27,2737407
2023-01-28,2743558
2023-01-29,2750002
2023-01-30,2755634
2023-01-31,2760991
2023-02-01,2766675
2023-02-02,2771806
2023-02-03,2776974
2023-02-04,2782687
2023-02-05,2788939
2023-02-06,2794062
2023-02-07,2798818
2023-02-08,2803652
2023-02-09,2808537
2023-02-10,2813687
2023-02-11,2818606
2023-02-12,2824335
2023-02-13,2829203
2023-02-14,2833930
2023-02-15,2839309
2023-02-16,2843725
