date,count
2022-08-24,1746836
2022-08-25,1753283
2022-08-26,1759280
2022-08-27,1765297
2022-08-28,1771258
2022-08-29,1776956
2022-08-30,1782676
2022-08-31,1788531
2022-09-01,1794064
2022-09-02,1799064
2022-09-03,1805041
2022-09-04,1811001
2022-09-05,1816163
2022-09-06,1821593
2022-09-07,1826651
2022-09-08,1831616
2022-09-09,1836734
2022-09-10,1842562
2022-09-11,1848349
2022-09-12,1853470
2022-09-13,1858271
2022-09-14,1863254
2022-09-15,1868749
2022-09-16,1874079
2022-09-17,1880004
2022-09-18,1885877
2022-09-19,1891635
2022-09-20,1896917
2022-09-21,1902218
2022-09-22,1908151
2022-09-23,1914840
2022-09-24,1921309
2022-09-25,1927819
2022-09-26,1933434
2022-09-27,1939272
2022-09-28,1945131
2022-09-29,1950851
2022-09-30,1955647
2022-10-01,1960938
2022-10-02,1967263
2022-10-03,1973399
2022-10-04,1979400
2022-10-05,1985333
2022-10-06,1990761
2022-10-07,1996603
2022-10-08,2002660
2022-10-09,2008092
2022-10-10,2014027
2022-10-11,2019693
2022-10-12,2024944
2022-10-13,2031129
2022-10-14,2036557
2022-10-15,2042127
2022-10-16,2047762
2022-10-17,2052807
2022-10-18,2057774
2022-10-19,2062567
2022-10-20,2067406
2022-10-21,2071818
2022-10-22,2076732
2022-10-23,2081606
2022-10-24,2085861
2022-10-25,2089836
2022-10-26,2093626
2022-10-27,2097299
2022-10-28,2101600
2022-10-29,2106657
2022-10-30,2112097
2022-10-31,2116721
2022-11-01,2121136
2022-11-02,2125605
2022-11-03,2130660
2022-11-04,2134675
2022-11-05,2139175
2022-11-06,2143543
2022-11-07,2148170
2022-11-08,2152348
2022-11-09,2156618
2022-11-10,2160771
2022-11-11,2164716
2022-11-12,2169537
2022-11-13,2174353
2022-11-14,2178359
2022-11-15,2182411
2022-11-16,2186373
2022-11-17,2190126
2022-11-18,2193917
2022-11-19,2197889
2022-11-20,2201553
2022-11-21,2204934
2022-11-22,2208400
2022-11-23,2212233
2022-11-24,2215693
2022-11-25,2219185
2022-11-26,2222870
2022-11-27,2226960
2022-11-28,2229967
2022-11-29,2233590
2022-11-30,2237027
2022-12-01,2240420
2022-12-02,2243783
2022-12-03,2247704
2022-12-04,2251497
2022-12-05,2254749
2022-12-06,2258196
2022-12-07,2261572
2022-12-08,2265190
2022-12-09,2268623
2022-12-10,2272066
2022-12-11,2275576
2022-12-12,2278804
2022-12-13,2281920
2022-12-14,2285102
2022-12-15,2288249
2022-12-16,2291198
2022-12-17,2294256
2022-12-18,2297519
2022-12-19,2300484
2022-12-20,2303519
2022-12-21,2306655
2022-12-22,2310058
2022-12-23,2313430
2022-12-24,2316662
2022-12-25,2319756
2022-12-26,2323396
2022-12-27,2326795
2022-12-28,2330243
2022-12-29,2333616
2022-12-30,2336667
2022-12-31,2339646
2023-01-01,2342182
2023-01-02,2345010
2023-01-03,2348066
2023-01-04,2351131
2023-01-05,2354237
2023-01-06,2357428
2023-01-07,2360577
2023-01-08,2364102
2023-01-09,2368698
2023-01-10,2371596
2023-01-11,2376316
2023-01-12,2380175
2023-01-13,2383690
2023-01-14,2387719
2023-01-15,2392415
2023-01-16,2396131
2023-01-17,2400051
2023-01-18,2403378
2023-01-19,2406815
2023-01-20,2410079
2023-01-21,2413730
2023-01-22,2417147
2023-01-23,2420757
2023-01-24,2424690
2023-01-25,2428788
2023-01-26,2432629
2023-01-27,2436493
2023-01-28,2440639
2023-01-29,2444996
2023-01-30,2449310
2023-01-31,2453835
2023-02-01,2458325
2023-02-02,2462490
2023-02-03,2466428
2023-02-04,2470841
2023-02-05,2475508
2023-02-06,2479856
2023-02-07,2484365
2023-02-08,2488421
2023-02-09,2492345
2023-02-10,2496711
2023-02-11,2500587
2023-02-12,2505925
2023-02-13,2511156
2023-02-14,2519924
2023-02-15,2528093
2023-02-16,2533832
2023-02-17,2539032
2023-02-18,2544278
2023-02-19,2549211
2023-02-20,2553614
2023-02-21,2557884
2023-02-22,2562250
2023-02-23,2566477
2023-02-24,2570543
2023-02-25,2575195
2023-02-26,2579830
2023-02-27,2584428
2023-02-28,2588850
2023-03-01,2593181
2023-03-02,2597683
2023-03-03,2602160
2023-03-04,2606782
2023-03-05,2611696
2023-03-06,2616168
2023-03-07,2620804
2023-03-08,2624898
2023-03-09,2628754
2023-03-10,2632974
2023-03-11,2637195
2023-03-12,2641221
2023-03-13,2645165
2023-03-14,2648998
2023-03-15,2652799
2023-03-16,2656300
2023-03-17,2659940
2023-03-18,2663456
2023-03-19,2667029
2023-03-20,2670532
2023-03-21,2673806
2023-03-22,2676931
2023-03-23,2680035
2023-03-24,2683294
2023-03-25,2686493
2023-03-26,2689691
