date,count
2022-08-24,2237222
2022-08-25,2238923
2022-08-26,2240754
2022-08-27,2242676
2022-08-28,2244660
2022-08-29,2246649
2022-08-30,2248499
2022-08-31,2250368
2022-09-01,2252044
2022-09-02,2253559
2022-09-03,2255661
2022-09-04,2257645
2022-09-05,2259272
2022-09-06,2261004
2022-09-07,2262593
2022-09-08,2264210
2022-09-09,2265669
2022-09-10,2267440
2022-09-11,2269230
2022-09-12,2270636
2022-09-13,2272042
2022-09-14,2273385
2022-09-15,2274954
2022-09-16,2276490
2022-09-17,2278307
2022-09-18,2280112
2022-09-19,2281835
2022-09-20,2283339
2022-09-21,2284926
2022-09-22,2286597
2022-09-23,2288567
2022-09-24,2290550
2022-09-25,2292353
2022-09-26,2293788
2022-09-27,2295470
2022-09-28,2297154
2022-09-29,2299074
2022-09-30,2300655
2022-10-01,2302726
2022-10-02,2304895
2022-10-03,2306551
2022-10-04,2308400
2022-10-05,2310279
2022-10-06,2312153
2022-10-07,2314089
2022-10-08,2316268
2022-10-09,2318319
2022-10-10,2320561
2022-10-11,2322194
2022-10-12,2323848
2022-10-13,2325455
2022-10-14,2327104
2022-10-15,2329040
2022-10-16,2331092
2022-10-17,2332691
2022-10-18,2334188
2022-10-19,2335717
2022-10-20,2337364
2022-10-21,2338804
2022-10-22,2340517
2022-10-23,2342023
2022-10-24,2343332
