date,count
2023-04-08,328310
2023-04-09,401280
2023-04-10,456441
2023-04-11,495452
2023-04-12,526421
2023-04-13,550378
2023-04-14,573296
2023-04-15,597747
2023-04-16,621193
2023-04-17,639292
2023-04-18,655550
2023-04-19,671787
2023-04-20,686714
2023-04-21,700565
2023-04-22,715455
2023-04-23,729522
2023-04-24,741277
2023-04-25,752007
2023-04-26,762727
2023-04-27,772698
2023-04-28,783031
2023-04-29,795030
2023-04-30,805970
2023-05-01,815063
2023-05-02,824132
2023-05-03,833654
2023-05-04,842505
2023-05-05,851058
2023-05-06,859758
2023-05-07,869394
2023-05-08,877633
2023-05-09,885300
2023-05-10,895062
