date,count
2022-08-24,13076344
2022-08-25,13097138
2022-08-26,13117236
2022-08-27,13137211
2022-08-28,13155574
2022-08-29,13174525
2022-08-30,13192906
2022-08-31,13211577
2022-09-01,13229344
2022-09-02,13245435
2022-09-03,13266044
2022-09-04,13285816
2022-09-05,13303077
2022-09-06,13321043
2022-09-07,13338445
2022-09-08,13355793
2022-09-09,13372728
2022-09-10,13392317
2022-09-11,13411697
2022-09-12,13427945
2022-09-13,13443336
2022-09-14,13459330
2022-09-15,13477102
2022-09-16,13494025
2022-09-17,13513388
2022-09-18,13532315
2022-09-19,13550654
2022-09-20,13566249
2022-09-21,13581727
2022-09-22,13597703
2022-09-23,13616532
2022-09-24,13634624
2022-09-25,13666421
2022-09-26,13686084
2022-09-27,13705298
2022-09-28,13724986
2022-09-29,13746243
2022-09-30,13763666
2022-10-01,13785263
2022-10-02,13807054
2022-10-03,13825486
2022-10-04,13844155
2022-10-05,13862059
2022-10-06,13880966
2022-10-07,13899590
2022-10-08,13920561
2022-10-09,13940741
2022-10-10,13961770
2022-10-11,13979722
2022-10-12,13997371
2022-10-13,14015089
2022-10-14,14032179
2022-10-15,14052670
2022-10-16,14073446
2022-10-17,14091917
2022-10-18,14109350
2022-10-19,14126811
2022-10-20,14145165
2022-10-21,14161047
2022-10-22,14179808
2022-10-23,14198520
2022-10-24,14214979
2022-10-25,14230788
2022-10-26,14246481
2022-10-27,14262717
2022-10-28,14281234
2022-10-29,14301673
2022-10-30,14322591
2022-10-31,14340172
2022-11-01,14356020
2022-11-02,14372033
