date,count
2022-08-24,1220288
2022-08-25,1221272
2022-08-26,1222249
2022-08-27,1223224
2022-08-28,1224187
2022-08-29,1225087
2022-08-30,1225919
2022-08-31,1226702
2022-09-01,1227592
2022-09-02,1228274
2022-09-03,1229323
2022-09-04,1230369
2022-09-05,1231166
2022-09-06,1231968
2022-09-07,1232756
2022-09-08,1233585
2022-09-09,1234341
2022-09-10,1235366
2022-09-11,1236373
2022-09-12,1237177
2022-09-13,1237914
2022-09-14,1238684
2022-09-15,1239500
2022-09-16,1240312
2022-09-17,1241361
2022-09-18,1242462
2022-09-19,1243500
2022-09-20,1244290
2022-09-21,1245010
2022-09-22,1245786
2022-09-23,1246734
2022-09-24,1247700
2022-09-25,1248702
2022-09-26,1249490
2022-09-27,1250385
2022-09-28,1251219
2022-09-29,1252149
2022-09-30,1252844
2022-10-01,1253737
2022-10-02,1254784
2022-10-03,1255675
2022-10-04,1256528
2022-10-05,1257405
2022-10-06,1258351
2022-10-07,1259342
2022-10-08,1260401
2022-10-09,1261510
2022-10-10,1262698
2022-10-11,1263551
2022-10-12,1264357
2022-10-13,1265191
2022-10-14,1266028
2022-10-15,1267000
2022-10-16,1268061
2022-10-17,1268918
2022-10-18,1269754
2022-10-19,1270493
2022-10-20,1271335
2022-10-21,1272038
2022-10-22,1273003
2022-10-23,1273922
2022-10-24,1274684
2022-10-25,1275368
2022-10-26,1276063
2022-10-27,1276734
2022-10-28,1277502
2022-10-29,1278377
2022-10-30,1279304
2022-10-31,1279992
2022-11-01,1280699
2022-11-02,1281427
2022-11-03,1282254
2022-11-04,1282911
2022-11-05,1283655
2022-11-06,1284423
2022-11-07,1285155
2022-11-08,1285837
2022-11-09,1286578
2022-11-10,1287304
2022-11-11,1288092
2022-11-12,1289104
2022-11-13,1290122
2022-11-14,1291001
2022-11-15,1291848
2022-11-16,1292611
2022-11-17,1293333
2022-11-18,1294129
2022-11-19,1295029
2022-11-20,1295979
2022-11-21,1296712
2022-11-22,1297495
2022-11-23,1298416
2022-11-24,1299124
2022-11-25,1299886
2022-11-26,1300788
2022-11-27,1301700
2022-11-28,1302347
2022-11-29,1303074
2022-11-30,1303835
2022-12-01,1304543
2022-12-02,1305249
2022-12-03,1306099
