date,count
2022-08-24,3165108
2022-08-25,3166309
2022-08-26,3167593
2022-08-27,3168825
2022-08-28,3170140
2022-08-29,3171273
2022-08-30,3172374
2022-08-31,3173439
2022-09-01,3174372
2022-09-02,3175309
2022-09-03,3176568
2022-09-04,3177801
2022-09-05,3178877
2022-09-06,3179914
2022-09-07,3180968
2022-09-08,3182051
2022-09-09,3183095
2022-09-10,3184292
2022-09-11,3185529
2022-09-12,3186578
2022-09-13,3187481
2022-09-14,3188396
2022-09-15,3189381
2022-09-16,3190501
2022-09-17,3191940
2022-09-18,3193259
2022-09-19,3194631
2022-09-20,3195751
2022-09-21,3196851
2022-09-22,3197966
2022-09-23,3199333
2022-09-24,3200650
2022-09-25,3202148
2022-09-26,3203397
2022-09-27,3204731
2022-09-28,3206174
2022-09-29,3207544
2022-09-30,3208661
2022-10-01,3209991
2022-10-02,3211413
2022-10-03,3212601
2022-10-04,3213910
2022-10-05,3215293
2022-10-06,3216640
2022-10-07,3217975
2022-10-08,3219603
2022-10-09,3221006
2022-10-10,3222729
2022-10-11,3224489
2022-10-12,3226220
2022-10-13,3227741
2022-10-14,3229173
2022-10-15,3230547
2022-10-16,3231985
2022-10-17,3233240
2022-10-18,3234374
2022-10-19,3235493
2022-10-20,3236693
2022-10-21,3237775
2022-10-22,3239083
2022-10-23,3240430
2022-10-24,3241571
2022-10-25,3242726
2022-10-26,3243835
2022-10-27,3244922
2022-10-28,3246161
2022-10-29,3247516
2022-10-30,3248924
2022-10-31,3250161
2022-11-01,3251367
2022-11-02,3252581
2022-11-03,3253883
2022-11-04,3255004
2022-11-05,3256263
2022-11-06,3257458
2022-11-07,3258701
2022-11-08,3259905
2022-11-09,3261014
2022-11-10,3262083
2022-11-11,3263166
2022-11-12,3264540
2022-11-13,3265985
2022-11-14,3267104
2022-11-15,3268350
2022-11-16,3269540
2022-11-17,3270666
2022-11-18,3271701
2022-11-19,3272910
2022-11-20,3274112
2022-11-21,3275132
2022-11-22,3276234
2022-11-23,3277508
2022-11-24,3278613
2022-11-25,3279687
2022-11-26,3280921
2022-11-27,3282198
2022-11-28,3283260
2022-11-29,3284351
2022-11-30,3285439
2022-12-01,3286473
2022-12-02,3287524
2022-12-03,3288748
2022-12-04,3290071
2022-12-05,3291168
2022-12-06,3292240
2022-12-07,3293275
2022-12-08,3294297
2022-12-09,3295243
2022-12-10,3296372
2022-12-11,3297420
2022-12-12,3298343
2022-12-13,3299238
2022-12-14,3300183
2022-12-15,3301150
2022-12-16,3302037
2022-12-17,3303011
2022-12-18,3303943
2022-12-19,3304788
2022-12-20,3305646
2022-12-21,3306494
2022-12-22,3307397
2022-12-23,3308301
2022-12-24,3309153
2022-12-25,3310061
2022-12-26,3310978
2022-12-27,3311954
2022-12-28,3312952
2022-12-29,3313944
2022-12-30,3314837
2022-12-31,3315796
2023-01-01,3316546
2023-01-02,3317355
2023-01-03,3318232
2023-01-04,3319116
2023-01-05,3320042
2023-01-06,3320978
2023-01-07,3321971
2023-01-08,3322934
2023-01-09,3324003
2023-01-10,3324907
2023-01-11,3325863
2023-01-12,3326723
2023-01-13,3327596
2023-01-14,3328575
2023-01-15,3329589
2023-01-16,3330464
2023-01-17,3331325
2023-01-18,3332166
2023-01-19,3332968
2023-01-20,3333847
2023-01-21,3334784
2023-01-22,3335692
2023-01-23,3336507
2023-01-24,3337346
2023-01-25,3338177
2023-01-26,3339002
2023-01-27,3339744
2023-01-28,3340611
2023-01-29,3341502
2023-01-30,3342314
2023-01-31,3343003
2023-02-01,3343740
2023-02-02,3344510
2023-02-03,3345299
2023-02-04,3346111
2023-02-05,3347002
2023-02-06,3347801
2023-02-07,3348570
2023-02-08,3349383
2023-02-09,3350119
2023-02-10,3350987
2023-02-11,3351839
2023-02-12,3352717
2023-02-13,3353504
2023-02-14,3354351
2023-02-15,3355264
2023-02-16,3355974
2023-02-17,3356757
2023-02-18,3357681
2023-02-19,3358637
2023-02-20,3359444
2023-02-21,3360265
2023-02-22,3361068
2023-02-23,3361882
2023-02-24,3362778
2023-02-25,3363717
2023-02-26,3364635
2023-02-27,3365459
2023-02-28,3366240
2023-03-01,3367031
2023-03-02,3367712
2023-03-03,3368498
2023-03-04,3369318
2023-03-05,3370173
2023-03-06,3370938
2023-03-07,3371690
2023-03-08,3372494
2023-03-09,3373335
2023-03-10,3374208
2023-03-11,3375153
2023-03-12,3376011
2023-03-13,3376829
2023-03-14,3377695
2023-03-15,3378565
2023-03-16,3379445
2023-03-17,3380264
2023-03-18,3381077
2023-03-19,3381930
2023-03-20,3382786
2023-03-21,3383595
2023-03-22,3384425
2023-03-23,3385185
2023-03-24,3386047
2023-03-25,3386893
2023-03-26,3387800
2023-03-27,3388655
2023-03-28,3389453
2023-03-29,3390272
2023-03-30,3391064
2023-03-31,3391869
2023-04-01,3392640
2023-04-02,3393461
2023-04-03,3394328
2023-04-04,3395224
2023-04-05,3396108
2023-04-06,3396963
2023-04-07,3397801
2023-04-08,3398631
2023-04-09,3399544
2023-04-10,3400323
2023-04-11,3401033
2023-04-12,3401740
2023-04-13,3402372
2023-04-14,3402993
2023-04-15,3403687
2023-04-16,3404410
2023-04-17,3404954
2023-04-18,3405507
2023-04-19,3406110
2023-04-20,3406785
2023-04-21,3407479
2023-04-22,3408236
2023-04-23,3408996
2023-04-24,3409647
2023-04-25,3410315
2023-04-26,3410955
2023-04-27,3411507
2023-04-28,3412071
2023-04-29,3412719
2023-04-30,3413399
2023-05-01,3413927
2023-05-02,3414498
2023-05-03,3415075
2023-05-04,3415643
