date,count
2022-08-24,4167374
2022-08-25,4173233
2022-08-26,4178978
2022-08-27,4184861
2022-08-28,4190625
2022-08-29,4196335
2022-08-30,4201948
2022-08-31,4207712
2022-09-01,4212968
2022-09-02,4217521
2022-09-03,4223781
2022-09-04,4229775
2022-09-05,4234654
2022-09-06,4240049
2022-09-07,4245010
2022-09-08,4249783
2022-09-09,4254303
2022-09-10,4260255
2022-09-11,4266195
2022-09-12,4270974
2022-09-13,4275187
2022-09-14,4279573
2022-09-15,4284347
2022-09-16,4288866
2022-09-17,4294561
2022-09-18,4300163
2022-09-19,4305558
2022-09-20,4310015
2022-09-21,4314628
2022-09-22,4319363
2022-09-23,4325251
2022-09-24,4330935
2022-09-25,4336699
2022-09-26,4341448
2022-09-27,4346146
2022-09-28,4351153
2022-09-29,4356677
2022-09-30,4361102
2022-10-01,4366913
2022-10-02,4373094
2022-10-03,4378393
2022-10-04,4384062
2022-10-05,4389347
2022-10-06,4395038
2022-10-07,4400435
2022-10-08,4406552
2022-10-09,4412326
2022-10-10,4418119
2022-10-11,4422520
2022-10-12,4426863
2022-10-13,4430988
2022-10-14,4435092
2022-10-15,4440371
2022-10-16,4446076
2022-10-17,4450337
2022-10-18,4454441
2022-10-19,4458223
2022-10-20,4461930
2022-10-21,4465402
2022-10-22,4469804
2022-10-23,4474144
2022-10-24,4477750
2022-10-25,4481113
2022-10-26,4484496
