date,count
2022-08-24,3711706
2022-08-25,3717466
2022-08-26,3723396
2022-08-27,3729138
2022-08-28,3734743
2022-08-29,3740425
2022-08-30,3745645
2022-08-31,3751053
2022-09-01,3756507
2022-09-02,3761191
2022-09-03,3767132
2022-09-04,3773198
2022-09-05,3778537
2022-09-06,3783742
2022-09-07,3788518
2022-09-08,3793273
2022-09-09,3797864
2022-09-10,3803290
2022-09-11,3808997
2022-09-12,3813978
2022-09-13,3818540
2022-09-14,3823117
2022-09-15,3828115
2022-09-16,3832952
2022-09-17,3838270
2022-09-18,3843813
2022-09-19,3849375
2022-09-20,3854197
2022-09-21,3859131
2022-09-22,3864212
2022-09-23,3869951
2022-09-24,3875595
2022-09-25,3881161
2022-09-26,3886932
2022-09-27,3892771
2022-09-28,3898406
2022-09-29,3904789
2022-09-30,3909880
2022-10-01,3915787
2022-10-02,3922738
2022-10-03,3928969
2022-10-04,3935882
2022-10-05,3942827
2022-10-06,3949845
2022-10-07,3956034
2022-10-08,3962658
2022-10-09,3969121
2022-10-10,3975597
2022-10-11,3981526
2022-10-12,3987178
2022-10-13,3992524
2022-10-14,3997745
2022-10-15,4003476
2022-10-16,4009591
2022-10-17,4015300
2022-10-18,4020718
2022-10-19,4025729
2022-10-20,4030928
2022-10-21,4036163
2022-10-22,4041674
2022-10-23,4047449
2022-10-24,4052468
2022-10-25,4057176
2022-10-26,4061914
2022-10-27,4066524
2022-10-28,4071679
2022-10-29,4077545
2022-10-30,4083667
2022-10-31,4088981
2022-11-01,4094122
2022-11-02,4099273
2022-11-03,4104863
2022-11-04,4109614
2022-11-05,4114688
2022-11-06,4119696
2022-11-07,4124714
2022-11-08,4129297
2022-11-09,4133916
2022-11-10,4138450
2022-11-11,4143198
2022-11-12,4148511
2022-11-13,4154149
2022-11-14,4159239
2022-11-15,4164045
2022-11-16,4168734
2022-11-17,4173609
2022-11-18,4177779
2022-11-19,4182818
2022-11-20,4188027
2022-11-21,4192872
2022-11-22,4197659
2022-11-23,4202731
2022-11-24,4207435
2022-11-25,4211821
2022-11-26,4216767
2022-11-27,4221983
2022-11-28,4226689
2022-11-29,4231407
2022-11-30,4236037
2022-12-01,4240487
2022-12-02,4244729
2022-12-03,4249497
2022-12-04,4254406
2022-12-05,4258764
2022-12-06,4263358
2022-12-07,4267867
2022-12-08,4272292
2022-12-09,4276639
2022-12-10,4281650
2022-12-11,4286426
2022-12-12,4290870
2022-12-13,4295233
2022-12-14,4299579
2022-12-15,4303626
2022-12-16,4307804
2022-12-17,4312467
2022-12-18,4316845
2022-12-19,4320845
2022-12-20,4324841
2022-12-21,4329206
2022-12-22,4333464
2022-12-23,4337727
2022-12-24,4341818
2022-12-25,4345884
2022-12-26,4350229
2022-12-27,4354793
2022-12-28,4359835
2022-12-29,4364921
2022-12-30,4369388
2022-12-31,4373879
2023-01-01,4377653
2023-01-02,4381625
2023-01-03,4385719
2023-01-04,4390054
2023-01-05,4394324
2023-01-06,4398757
2023-01-07,4402925
2023-01-08,4406897
2023-01-09,4411690
2023-01-10,4414851
2023-01-11,4419854
2023-01-12,4424497
2023-01-13,4428727
2023-01-14,4433634
2023-01-15,4438518
2023-01-16,4442571
2023-01-17,4446607
2023-01-18,4450592
2023-01-19,4454620
2023-01-20,4458765
2023-01-21,4463416
2023-01-22,4468282
2023-01-23,4472686
2023-01-24,4477140
2023-01-25,4481528
2023-01-26,4485757
2023-01-27,4490116
2023-01-28,4494676
2023-01-29,4499453
2023-01-30,4504347
2023-01-31,4508926
2023-02-01,4513781
2023-02-02,4518521
2023-02-03,4523278
2023-02-04,4528244
2023-02-05,4533802
2023-02-06,4538802
2023-02-07,4543519
2023-02-08,4548056
2023-02-09,4552512
2023-02-10,4557598
2023-02-11,4562123
2023-02-12,4567313
2023-02-13,4571852
2023-02-14,4576145
2023-02-15,4581014
2023-02-16,4585164
2023-02-17,4589535
2023-02-18,4594201
2023-02-19,4598884
2023-02-20,4603229
2023-02-21,4607534
2023-02-22,4611689
2023-02-23,4616269
2023-02-24,4620751
2023-02-25,4625216
2023-02-26,4629453
2023-02-27,4633507
2023-02-28,4637213
2023-03-01,4641198
2023-03-02,4644947
2023-03-03,4648839
2023-03-04,4653084
2023-03-05,4657359
2023-03-06,4661206
2023-03-07,4665325
2023-03-08,4669396
2023-03-09,4673223
2023-03-10,4676969
2023-03-11,4680712
2023-03-12,4684642
2023-03-13,4688362
2023-03-14,4692033
2023-03-15,4695956
2023-03-16,4699733
2023-03-17,4703717
2023-03-18,4707662
2023-03-19,4711729
2023-03-20,4715780
2023-03-21,4719749
2023-03-22,4723831
2023-03-23,4727802
2023-03-24,4732205
2023-03-25,4736351
2023-03-26,4740449
2023-03-27,4744616
2023-03-28,4748476
2023-03-29,4752335
2023-03-30,4755884
2023-03-31,4759578
2023-04-01,4763140
2023-04-02,4766813
2023-04-03,4770734
2023-04-04,4774739
