date,count
2022-08-24,1568777
2022-08-25,1573686
2022-08-26,1578341
2022-08-27,1583199
2022-08-28,1588172
2022-08-29,1592996
2022-08-30,1597764
2022-08-31,1602582
2022-09-01,1606754
2022-09-02,1610435
2022-09-03,1615371
2022-09-04,1620077
2022-09-05,1624053
2022-09-06,1628253
2022-09-07,1632480
2022-09-08,1636749
2022-09-09,1640683
2022-09-10,1644853
2022-09-11,1649327
2022-09-12,1653364
2022-09-13,1657111
2022-09-14,1660791
2022-09-15,1664604
2022-09-16,1668217
2022-09-17,1672235
2022-09-18,1676422
2022-09-19,1680468
2022-09-20,1683997
2022-09-21,1687345
2022-09-22,1690799
2022-09-23,1695062
2022-09-24,1699184
2022-09-25,1703312
2022-09-26,1706787
2022-09-27,1710338
2022-09-28,1713551
2022-09-29,1716958
2022-09-30,1719701
2022-10-01,1723422
2022-10-02,1727535
2022-10-03,1730694
2022-10-04,1734260
2022-10-05,1737726
2022-10-06,1741172
2022-10-07,1744303
2022-10-08,1748289
2022-10-09,1752006
2022-10-10,1756143
2022-10-11,1759535
2022-10-12,1762592
2022-10-13,1765642
2022-10-14,1768535
2022-10-15,1771824
2022-10-16,1775180
2022-10-17,1778251
2022-10-18,1781089
2022-10-19,1783668
2022-10-20,1786365
2022-10-21,1788915
2022-10-22,1791791
2022-10-23,1794854
2022-10-24,1797528
2022-10-25,1800109
2022-10-26,1802489
2022-10-27,1804772
