date,count
2022-08-24,2094434
2022-08-25,2096451
2022-08-26,2098514
2022-08-27,2100744
2022-08-28,2102917
2022-08-29,2105032
2022-08-30,2106896
2022-08-31,2108808
2022-09-01,2110681
2022-09-02,2112249
2022-09-03,2114300
2022-09-04,2116314
2022-09-05,2118042
2022-09-06,2119824
2022-09-07,2121453
2022-09-08,2123246
2022-09-09,2124813
2022-09-10,2126684
2022-09-11,2128650
2022-09-12,2130193
2022-09-13,2131693
2022-09-14,2133188
2022-09-15,2134937
2022-09-16,2136555
2022-09-17,2138412
2022-09-18,2140297
2022-09-19,2142210
2022-09-20,2143862
2022-09-21,2145545
2022-09-22,2147169
2022-09-23,2149240
2022-09-24,2151181
2022-09-25,2153072
2022-09-26,2154968
