date,count
2022-08-24,185486
2022-08-25,190599
2022-08-26,195417
2022-08-27,200488
2022-08-28,205141
2022-08-29,209643
2022-08-30,214611
2022-08-31,218772
2022-09-01,222543
2022-09-02,225830
2022-09-03,229847
2022-09-04,233579
2022-09-05,236742
2022-09-06,239921
2022-09-07,242857
2022-09-08,246161
2022-09-09,248958
2022-09-10,251907
2022-09-11,254945
2022-09-12,257472
2022-09-13,259754
2022-09-14,261975
2022-09-15,264370
2022-09-16,266436
2022-09-17,268892
2022-09-18,271431
2022-09-19,273848
2022-09-20,275839
2022-09-21,277831
2022-09-22,279930
2022-09-23,282288
2022-09-24,284678
2022-09-25,287124
2022-09-26,289291
2022-09-27,291393
2022-09-28,293604
2022-09-29,295685
2022-09-30,297471
2022-10-01,299880
2022-10-02,302463
2022-10-03,304536
2022-10-04,306659
2022-10-05,308625
2022-10-06,310820
2022-10-07,313097
2022-10-08,315546
2022-10-09,317780
2022-10-10,320365
2022-10-11,322536
2022-10-12,324537
2022-10-13,326631
2022-10-14,328596
2022-10-15,330794
2022-10-16,333091
2022-10-17,334919
2022-10-18,336787
2022-10-19,338523
2022-10-20,340515
2022-10-21,342141
2022-10-22,344058
2022-10-23,345914
2022-10-24,347537
2022-10-25,349008
2022-10-26,350588
2022-10-27,352366
2022-10-28,354164
2022-10-29,356121
2022-10-30,358032
2022-10-31,359507
2022-11-01,360916
2022-11-02,362202
2022-11-03,363891
2022-11-04,365196
2022-11-05,366680
2022-11-06,368179
2022-11-07,369568
2022-11-08,370878
2022-11-09,372260
2022-11-10,373530
2022-11-11,374803
2022-11-12,376353
2022-11-13,378047
2022-11-14,379441
2022-11-15,380828
2022-11-16,382276
2022-11-17,383641
2022-11-18,384937
2022-11-19,386502
2022-11-20,387876
2022-11-21,389048
2022-11-22,390243
2022-11-23,391627
2022-11-24,392831
2022-11-25,394042
2022-11-26,395492
2022-11-27,396899
2022-11-28,398026
2022-11-29,399150
2022-11-30,400217
2022-12-01,401336
2022-12-02,402348
2022-12-03,403606
2022-12-04,404875
2022-12-05,405904
2022-12-06,407055
2022-12-07,408228
2022-12-08,409411
2022-12-09,410645
2022-12-10,411991
2022-12-11,413239
2022-12-12,414272
2022-12-13,415433
2022-12-14,416499
2022-12-15,417589
2022-12-16,418733
2022-12-17,420017
2022-12-18,421250
2022-12-19,422240
2022-12-20,423399
2022-12-21,424695
2022-12-22,425885
2022-12-23,427023
2022-12-24,428171
2022-12-25,429288
