date,count
2022-08-24,1719690
2022-08-25,1721463
2022-08-26,1723217
2022-08-27,1725125
2022-08-28,1726900
2022-08-29,1728615
2022-08-30,1730282
2022-08-31,1731912
2022-09-01,1733364
2022-09-02,1734658
2022-09-03,1736596
2022-09-04,1738454
2022-09-05,1739927
2022-09-06,1741512
2022-09-07,1742932
2022-09-08,1744363
2022-09-09,1745868
2022-09-10,1747678
2022-09-11,1749496
2022-09-12,1750909
2022-09-13,1752226
2022-09-14,1753567
2022-09-15,1755056
2022-09-16,1756424
2022-09-17,1758081
2022-09-18,1759850
2022-09-19,1761589
2022-09-20,1762980
2022-09-21,1764333
2022-09-22,1765819
2022-09-23,1767589
2022-09-24,1769614
2022-09-25,1771668
2022-09-26,1773187
2022-09-27,1774777
2022-09-28,1776374
2022-09-29,1778093
2022-09-30,1780594
2022-10-01,1783408
2022-10-02,1786098
2022-10-03,1787921
2022-10-04,1789782
2022-10-05,1791394
2022-10-06,1793207
2022-10-07,1794888
2022-10-08,1796788
2022-10-09,1798550
2022-10-10,1800321
2022-10-11,1801626
2022-10-12,1802854
2022-10-13,1804147
2022-10-14,1805376
2022-10-15,1806882
2022-10-16,1808390
2022-10-17,1809605
2022-10-18,1810683
2022-10-19,1811804
2022-10-20,1813077
2022-10-21,1814190
2022-10-22,1815561
2022-10-23,1816841
2022-10-24,1817868
2022-10-25,1818814
2022-10-26,1819753
2022-10-27,1820709
2022-10-28,1821736
2022-10-29,1822860
2022-10-30,1824050
2022-10-31,1825021
2022-11-01,1825977
2022-11-02,1826889
2022-11-03,1828002
2022-11-04,1828825
2022-11-05,1829890
2022-11-06,1830842
2022-11-07,1831740
2022-11-08,1832572
2022-11-09,1833505
2022-11-10,1834390
2022-11-11,1835166
2022-11-12,1836354
2022-11-13,1837535
2022-11-14,1838567
2022-11-15,1839529
2022-11-16,1840345
2022-11-17,1841243
2022-11-18,1842036
2022-11-19,1843089
2022-11-20,1844050
2022-11-21,1844779
2022-11-22,1845477
2022-11-23,1846446
2022-11-24,1847172
2022-11-25,1847959
2022-11-26,1848991
2022-11-27,1849989
2022-11-28,1850726
2022-11-29,1851484
2022-11-30,1852181
2022-12-01,1852957
2022-12-02,1853699
2022-12-03,1854653
2022-12-04,1855626
2022-12-05,1856347
2022-12-06,1857137
2022-12-07,1857885
2022-12-08,1858654
2022-12-09,1859455
2022-12-10,1860369
2022-12-11,1861198
2022-12-12,1861944
2022-12-13,1862680
2022-12-14,1863429
2022-12-15,1864208
2022-12-16,1864978
2022-12-17,1865958
2022-12-18,1866867
2022-12-19,1867631
2022-12-20,1868423
2022-12-21,1869199
2022-12-22,1869948
2022-12-23,1870727
2022-12-24,1871515
2022-12-25,1872338
2022-12-26,1873181
2022-12-27,1874056
2022-12-28,1874922
2022-12-29,1875695
2022-12-30,1876555
2022-12-31,1877433
2023-01-01,1878146
2023-01-02,1878907
2023-01-03,1879790
2023-01-04,1880645
2023-01-05,1881481
2023-01-06,1882328
2023-01-07,1883240
2023-01-08,1884184
2023-01-09,1885236
2023-01-10,1885995
2023-01-11,1886838
2023-01-12,1887720
2023-01-13,1888531
2023-01-14,1889608
2023-01-15,1890685
2023-01-16,1891478
2023-01-17,1892303
2023-01-18,1893058
2023-01-19,1893896
2023-01-20,1894766
2023-01-21,1895781
2023-01-22,1896756
2023-01-23,1897574
2023-01-24,1898401
2023-01-25,1899265
2023-01-26,1900083
2023-01-27,1900823
2023-01-28,1901674
2023-01-29,1902667
2023-01-30,1903477
2023-01-31,1904208
2023-02-01,1904903
2023-02-02,1905577
2023-02-03,1906266
2023-02-04,1907083
2023-02-05,1907912
2023-02-06,1908618
2023-02-07,1909351
2023-02-08,1910055
2023-02-09,1910700
2023-02-10,1911458
2023-02-11,1912238
2023-02-12,1913152
2023-02-13,1913871
2023-02-14,1914591
2023-02-15,1915422
2023-02-16,1916089
2023-02-17,1916768
2023-02-18,1917771
2023-02-19,1918732
2023-02-20,1919444
2023-02-21,1920118
2023-02-22,1920814
2023-02-23,1921689
2023-02-24,1922469
2023-02-25,1923334
2023-02-26,1924200
2023-02-27,1924880
2023-02-28,1925522
2023-03-01,1926183
2023-03-02,1926865
2023-03-03,1927522
2023-03-04,1928283
2023-03-05,1929111
2023-03-06,1929722
2023-03-07,1930340
2023-03-08,1930929
2023-03-09,1931524
2023-03-10,1932118
2023-03-11,1932779
2023-03-12,1933440
2023-03-13,1934068
2023-03-14,1934707
2023-03-15,1935350
2023-03-16,1936018
2023-03-17,1936625
2023-03-18,1937394
2023-03-19,1938170
2023-03-20,1938801
2023-03-21,1939535
2023-03-22,1940163
2023-03-23,1940798
2023-03-24,1941505
2023-03-25,1942296
2023-03-26,1943033
2023-03-27,1943750
2023-03-28,1944391
2023-03-29,1945215
2023-03-30,1946047
2023-03-31,1946893
2023-04-01,1947627
2023-04-02,1948323
2023-04-03,1949178
2023-04-04,1950027
2023-04-05,1950898
2023-04-06,1951722
2023-04-07,1952428
2023-04-08,1953266
2023-04-09,1954079
2023-04-10,1954761
2023-04-11,1955346
2023-04-12,1955891
2023-04-13,1956377
2023-04-14,1956856
2023-04-15,1957448
2023-04-16,1958158
2023-04-17,1958680
2023-04-18,1959141
2023-04-19,1959633
2023-04-20,1960111
2023-04-21,1960632
2023-04-22,1961288
